Gene_id,UR1,UTI1,UR3,UTI3,UR6,UTI6,UR7,UTI7,UR14,UTI14,UR17,UTI17,UR43,UTI43,UR54,UTI54,UR56,UTI56,UR57,UTI57,UR66,UTI66,UR68,UTI68,UR86,UTI86
10344_hypothetical_protein,,,,,7650.0,38.0,,,,,2712.0,22.0,,,11361.0,214.0,,,2464.0,2.0,,,945.0,22.0,4729.0,380.0
10347_hypothetical_protein,,,,,10.0,1.0,,,,,19.0,2.0,,,6.0,0.0,,,20.0,0.0,,,,,,
10348_hypothetical_protein,,,,,,,,,,,24.0,0.0,,,115.0,11.0,,,34.0,1.0,,,,,,
1034_TonB-dependent_Receptor_Plug_Domain_protein,1640.0,38.0,,,,,,,3097.0,217.0,,,,,,,,,,,,,,,,
10350_hypothetical_protein,,,,,,,,,,,257.0,21.0,,,194.0,36.0,,,313.0,3.0,,,,,,
10352_hypothetical_protein,,,,,,,,,,,10.0,1.0,,,2.0,4.0,,,24.0,1.0,,,,,,
10354_iraM,,,,,613.0,66.0,,,,,372.0,22.0,,,233.0,46.0,,,225.0,2.0,,,,,,
10358_small_toxic_polypeptide,,,,,,,,,,,12707.0,179.0,,,,,,,3140.0,0.0,,,,,,
10365_DNA-binding_transcriptional_regulator_DicC,,,,,,,,,,,92.0,0.0,,,,,,,,,,,,,,
10366_DNA_polymerase_V_subunit_UmuD,,,,,,,,,,,1818.0,90.0,,,,,,,2056.0,26.0,,,,,,
10373_exonuclease_VIII,,,,,,,,,,,77.0,7.0,,,,,,,,,,,,,,
10374_recE,,,,,,,,,,,487.0,16.0,,,,,,,1017.0,11.0,,,,,,
10383_lolE,,,,,,,,,,,664.0,90.0,,,969.0,742.0,,,,,,,,,,
10386_lolC_2,,,,,,,,,,,384.0,50.0,,,,,,,,,,,,,,
10402_ycfH_1,,,,,,,,,,,21.0,4.0,,,,,,,,,,,,,,
10403_ycfH_2,,,,,,,,,,,1062.0,183.0,,,,,,,,,,,,,,
10405_tmk,,,,,1522.0,89.0,,,,,1978.0,236.0,,,,,,,1490.0,52.0,,,,,,
10421_flgJ_1,,,,,,,,,,,15.0,6.0,,,,,,,,,,,,,,
10422_flgJ_2,,,,,,,65.0,115.0,,,164.0,27.0,,,,,,,,,,,,,,
1042_sfaS_1,48.0,4.0,,,49.0,4.0,,,47.0,15.0,36.0,7.0,44.0,7.0,26.0,53.0,20.0,14.0,15.0,1.0,19.0,2.0,125.0,1.0,12.0,4.0
10453_mdoH_1,,,,,,,1025.0,64.0,,,2007.0,217.0,1563.0,143.0,,,,,,,,,,,,
10454_mdoH_2,,,,,1877.0,199.0,2370.0,93.0,,,1789.0,291.0,2088.0,353.0,,,,,,,,,,,,
10475_cbeA_1,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
10477_hypothetical_protein,,,,,8.0,2.0,,,,,0.0,0.0,,,9.0,4.0,,,12.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0
10478_hypothetical_protein,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,
1047_Carboxymuconolactone_decarboxylase_family_protein,2847.0,220.0,,,,,,,,,,,143.0,30.0,,,,,,,,,471.0,1.0,,
10480_hypothetical_protein,,,,,,,,,,,1.0,2.0,,,169.0,57.0,,,,,,,,,8.0,1.0
10481_hypothetical_protein,,,,,,,,,,,27.0,2.0,,,3.0,1.0,,,,,,,,,,
10482_hypothetical_protein,,,,,,,,,,,6.0,0.0,,,,,,,,,278.0,0.0,,,,
10484_hypothetical_protein,,,,,,,,,,,59.0,3.0,,,62.0,24.0,,,,,,,,,,
10485_yeeR_1,,,,,,,,,,,114.0,7.0,,,181.0,67.0,,,,,,,,,117.0,15.0
10486_flu_1,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,16.0,0.0
10487_flu_2,,,,,154.0,8.0,,,,,74.0,13.0,,,31.0,17.0,,,,,,,,,,
10488_flu_3,,,,,,,,,,,106.0,31.0,,,,,,,,,,,,,,
1048_autoinducer-2_-AI-2-_modifying_protein_LsrG,703.0,141.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
10490_hypothetical_protein,,,,,,,,,,,60.0,7.0,,,,,,,,,53.0,0.0,,,,
10491_hypothetical_protein,,,,,,,,,,,316.0,32.0,,,,,,,,,263.0,1.0,334.0,19.0,,
10492_hypothetical_protein,,,,,,,,,,,1993.0,55.0,,,,,,,,,2369.0,3.0,,,,
10493_hcpC_1,,,,,,,,,,,5472.0,196.0,,,,,,,,,7597.0,13.0,8333.0,79.0,,
10494_hypothetical_protein,,,,,,,,,,,4.0,0.0,,,,,,,,,21.0,2.0,5.0,0.0,,
10495_yciC_1,,,,,,,,,,,389.0,15.0,,,,,0.0,0.0,,,434.0,2.0,391.0,2.0,,
10498_tnpA_1,,,,,,,,,,,294.0,18.0,,,,,,,,,383.0,3.0,,,,
10499_tnpA_2,,,,,1252.0,38.0,,,,,24.0,0.0,,,,,,,,,32.0,0.0,10.0,0.0,838.0,88.0
1049_yhdN_1,485.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,
10500_hypothetical_protein,,,,,,,,,,,413.0,24.0,,,,,,,,,459.0,0.0,681.0,15.0,,
10501_hypothetical_protein,,,,,,,,,,,390.0,29.0,,,,,,,,,530.0,4.0,308.0,6.0,,
10502_hypothetical_protein,,,,,,,,,,,167.0,9.0,,,,,,,,,220.0,1.0,118.0,7.0,,
10504_eryCIII,,,,,,,,,,,64906.0,76.0,,,,,69324.0,3248.0,,,91196.0,47.0,1715.0,82.0,,
10505_Putative_multidrug_export_ATP-binding-permease_protein,,,,,,,,,,,40560.0,92.0,,,,,,,,,,,,,,
10506_Putative_multidrug_export_ATP-binding-permease_protein,,,,,,,,,,,20899.0,128.0,,,,,,,,,,,,,,
10507_enterobactin-ferric_enterobactin_esterase,,,,,,,,,,,6736.0,43.0,,,,,,,,,,,760.0,16.0,,
10508_fes_1,,,,,,,,,,,3829.0,37.0,,,,,,,,,,,417.0,17.0,98.0,17.0
10509_besA,,,,,,,,,,,4353.0,70.0,,,,,4062.0,1937.0,,,4580.0,12.0,673.0,30.0,189.0,24.0
1050_kefF_1,124.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,
10510_fepA_1,,,,,,,,,,,44387.0,284.0,,,,,51819.0,8008.0,,,50371.0,33.0,1775.0,63.0,,
10511_pfeA,,,,,,,,,,,26414.0,244.0,,,,,19528.0,4778.0,,,27629.0,36.0,1098.0,36.0,,
10512_hypothetical_protein,,,,,,,,,,,67.0,0.0,,,,,,,,,,,,,,
10513_hypothetical_protein,,,,,,,,,,,36.0,4.0,,,,,,,,,,,,,,
10514_mprA_1,,,,,,,,,,,966.0,25.0,,,,,,,2361.0,7.0,,,,,,
10515_ydiV_1,,,,,,,,,,,983.0,23.0,,,,,,,,,,,,,,
10516_sfaH_2,,,,,,,,,,,1701.0,46.0,,,,,,,,,1639.0,1.0,3010.0,38.0,,
10517_sfaS_2,,,,,,,,,,,1292.0,15.0,,,,,,,,,1626.0,2.0,995.0,14.0,,
10518_sfaG_2,,,,,,,,,,,308.0,8.0,,,,,,,,,,,,,,
10519_sfaG_3,,,,,,,,,,,193.0,4.0,,,,,,,,,,,,,,
1051_Amidohydrolase,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
10521_fimD_4,,,,,,,,,,,596.0,17.0,,,,,,,,,811.0,1.0,477.0,3.0,,
10522_focC_2,,,,,,,,,,,1214.0,25.0,,,,,,,,,1150.0,0.0,0.0,0.0,,
10523_ycbV_1,,,,,,,,,,,1188.0,11.0,,,,,,,,,1685.0,5.0,0.0,0.0,,
10524_sfaA,,,,,,,,,,,24152.0,304.0,,,,,,,,,24516.0,14.0,24796.0,330.0,,
10525_hypothetical_protein,,,,,,,,,,,2.0,0.0,,,,,,,,,2.0,0.0,,,,
10526_papB_1,,,,,564.0,422.0,,,,,3015.0,7263.0,,,1162.0,1625.0,1480.0,845.0,483.0,0.0,785.0,3.0,534.0,5.0,13.0,0.0
10527_P_fimbrial_regulatory_protein_KS71A,,,,,73.0,0.0,,,,,442.0,213.0,,,43.0,2.0,,,129.0,1.0,368.0,1.0,444.0,6.0,0.0,0.0
10528_hypothetical_protein,,,,,,,,,,,147.0,3.0,,,,,,,,,118.0,0.0,221.0,4.0,,
10529_hypothetical_protein,,,,,,,,,,,57.0,7.0,216.0,19.0,236.0,40.0,,,,,47.0,1.0,31.0,2.0,18.0,1.0
1052_Amidohydrolase,17.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
10530_hypothetical_protein,,,,,,,,,,,7.0,0.0,,,,,,,,,2.0,1.0,,,,
10531_hypothetical_protein,,,,,,,,,,,364.0,1.0,,,,,,,,,501.0,0.0,,,,
10532_CAAX_amino_terminal_protease_self-_immunity,,,,,,,,,,,1718.0,7.0,,,,,,,,,1567.0,0.0,,,,
10533_hypothetical_protein,,,,,,,,,,,2248.0,38.0,,,,,,,,,,,,,,
10534_apxIB_1,,,,,,,,,,,765.0,12.0,,,,,,,,,,,,,,
10535_lagD,,,,,,,,,,,887.0,5.0,,,,,,,,,,,,,,
10536_hypothetical_protein,,,,,,,,,,,67.0,0.0,,,,,,,,,,,,,,
10537_cvaA_1,,,,,,,,,,,7014.0,14.0,,,,,,,,,,,,,,
10538_cvaA_2,,,,,,,,,,,3306.0,2.0,,,,,,,,,,,,,,
10539_RTX_toxin_acyltransferase_family_protein,,,,,,,,,,,7767.0,25.0,,,,,,,,,5581.0,4.0,,,,
1053_yhdN_2,220.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
10540_hypothetical_protein,,,,,,,,,,,41105.0,142.0,,,,,,,,,,,,,,
10541_mchB,,,,,,,,,,,13603.0,57.0,,,,,,,,,10902.0,2.0,,,,
10542_mchI,,,,,,,,,,,10400.0,17.0,,,,,,,,,9900.0,1.0,,,,
10543_hypothetical_protein,,,,,,,,,,,208.0,1.0,,,,,,,,,272.0,0.0,,,,
10544_hypothetical_protein,,,,,,,,,,,2741.0,7.0,,,,,,,,,2841.0,3.0,,,,
10545_Transposase,,,,,,,,,,,476.0,2.0,,,,,,,,,500.0,1.0,,,,
10546_Integrase_core_domain_protein,,,,,,,,,,,191.0,2.0,,,,,,,,,225.0,1.0,,,,
10547_aroF_1,,,,,,,,,,,70108.0,487.0,,,,,,,,,84613.0,185.0,,,,
10548_hypothetical_protein,,,,,,,,,,,20.0,1.0,,,,,,,,,32.0,0.0,,,,
10549_hypothetical_protein,,,,,,,,,,,34.0,1.0,,,,,,,,,173.0,0.0,,,,
1054_hchA_1,221.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,
10550_hypothetical_protein,,,,,,,,,,,14.0,1.0,,,,,,,,,52.0,0.0,,,,
10551_hypothetical_protein,,,,,,,,,,,848.0,18.0,,,,,,,,,,,,,,
10552_cea,,,,,,,,,,,275.0,9.0,,,,,,,,,530.0,0.0,,,,
10553_DNA_polymerase_III_subunit_epsilon,,,,,,,,,,,85.0,10.0,,,,,,,,,98.0,1.0,,,,
10554_Integrase_core_domain_protein,,,,,,,,,,,231.0,6.0,,,,,,,,,411.0,0.0,,,,
10555_hypothetical_protein,,,,,,,,,,,65.0,1.0,,,,,,,,,,,,,,
10556_hypothetical_protein,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,0.0,0.0
10557_hypothetical_protein,,,,,,,,,,,86.0,3.0,,,,,,,,,285.0,0.0,,,,
10558_hypothetical_protein,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
10559_hypothetical_protein,,,,,,,,,,,0.0,0.0,,,,,,,62.0,1.0,139.0,0.0,,,,
1055_hypothetical_protein,43.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,
10560_hypothetical_protein,,,,,,,,,,,194.0,16.0,,,,,,,205.0,6.0,20.0,0.0,,,1048.0,204.0
10561_hypothetical_protein,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,
10562_hypothetical_protein,,,,,,,,,,,55.0,1.0,,,,,,,,,,,,,,
10563_hypothetical_protein,,,,,,,,,,,218.0,5.0,,,,,,,,,,,,,,
10564_fhaB_1,,,,,,,,,,,687.0,19.0,,,,,,,,,,,,,,
1056_dmlR_2,619.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,
10574_AMP-binding_enzyme,,,,,,,,,,,1701.0,105.0,,,,,,,,,,,,,,
10575_O-succinylbenzoic_acid--CoA_ligase,,,,,,,,,,,1440.0,143.0,,,,,,,,,,,,,,
10576_hypothetical_protein,,,,,,,,,,,382.0,16.0,,,,,,,,,590.0,1.0,,,,
1057_hypothetical_protein,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10586_hypothetical_protein,,,,,,,,,,,32.0,0.0,,,,,,,,,53.0,0.0,,,,
10587_garD_1,,,,,,,,,,,7.0,1.0,,,,,,,,,20.0,0.0,13.0,0.0,,
10588_garD_2,,,,,,,,,,,7.0,0.0,,,,,,,,,4.0,0.0,1.0,0.0,,
10589_garD_3,,,,,,,,,,,7.0,0.0,,,,,,,,,5.0,0.0,4.0,0.0,,
10590_srlR_2,,,,,,,,,,,71.0,1.0,,,,,,,,,132.0,0.0,84.0,4.0,,
10591_srlR_3,,,,,,,,,,,123.0,2.0,,,,,,,,,233.0,0.0,162.0,0.0,,
10592_agaS_1,,,,,,,,,,,301.0,0.0,,,,,,,,,1732.0,1.0,9.0,1.0,,
10593_kbaY_1,,,,,,,,,,,225.0,1.0,,,,,,,,,,,,,,
10594_patB_1,,,,,,,,,,,388.0,0.0,,,,,,,,,2467.0,1.0,77.0,1.0,4696.0,23.0
10595_hypothetical_protein,,,,,,,,,,,4808.0,63.0,,,,,,,,,,,1977.0,34.0,15313.0,179.0
10596_rsmI_1,,,,,,,,,,,68.0,3.0,,,,,,,,,55.0,0.0,39.0,0.0,1194.0,292.0
10597_hypothetical_protein,,,,,,,,,,,44.0,4.0,,,,,,,,,41.0,2.0,58.0,2.0,17.0,11.0
10598_hypothetical_protein,,,,,,,,,,,37.0,2.0,,,,,,,,,64.0,0.0,,,61.0,8.0
10599_hypothetical_protein,,,,,,,,,,,58.0,8.0,,,,,,,,,40.0,1.0,,,,
10600_hypothetical_protein,,,,,,,,,,,99.0,15.0,,,,,,,,,87.0,2.0,,,56.0,13.0
10601_hypothetical_protein,,,,,,,,,,,972.0,61.0,,,,,,,,,2471.0,4.0,1736.0,52.0,983.0,131.0
10602_intA_1,,,,,,,,,,,1410.0,77.0,,,,,,,,,1281.0,5.0,850.0,19.0,716.0,254.0
10603_hypothetical_protein,,,,,,,,,,,173.0,5.0,,,,,,,,,,,86.0,1.0,99.0,46.0
10605_pgaA_1,,,,,,,2221.0,21.0,,,223.0,3.0,,,,,,,,,,,,,,
10606_pgaA_2,,,,,,,568.0,8.0,,,157.0,4.0,,,72.0,10.0,,,,,,,,,,
1060_icsA_2,1560.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,
10645_hypothetical_protein,,,,,,,159.0,2.0,,,116.0,4.0,,,,,,,,,118.0,1.0,,,,
10649_hyaB_1,,,,,,,85.0,0.0,,,28.0,1.0,,,,,,,,,,,,,,
10650_hyaB_2,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,
10663_hypothetical_protein,,,,,,,65.0,0.0,,,29.0,0.0,20.0,1.0,,,,,,,,,,,,
10664_hypothetical_protein,,,,,,,1609.0,18.0,,,546.0,15.0,578.0,36.0,,,,,,,,,,,,
10703_ComEC_family_competence_protein,,,,,,,,,,,150.0,9.0,,,,,,,,,,,,,,
10704_ComEC_family_competence_protein,,,,,,,,,,,204.0,9.0,,,,,,,,,,,,,,
10713_focA,,,,,8593.0,765.0,,,,,9624.0,719.0,7985.0,597.0,3296.0,1177.0,8451.0,5548.0,8730.0,71.0,11311.0,12.0,8077.0,185.0,9690.0,1568.0
10724_ftsK,,,,,,,,,,,12453.0,661.0,,,,,,,9472.0,122.0,,,,,,
10731_clpA_1,,,,,,,,,,,15649.0,192.0,,,,,,,,,,,,,,
10732_clpA_2,,,,,,,,,,,9982.0,111.0,,,,,,,,,,,,,,
10736_macA_1,,,,,,,,,,,246.0,2.0,,,,,,,,,,,,,,
10738_hypothetical_protein,,,,,,,1019.0,38.0,,,1578.0,99.0,,,,,,,,,,,,,,
10750_ybjP,,,,,,,,,,,1578.0,17.0,,,2136.0,131.0,1793.0,301.0,,,,,,,460.0,155.0
1077_hypothetical_protein,145.0,2.0,,,,,78.0,0.0,,,,,,,,,,,,,,,,,,
10812_ybiC,,,,,,,,,,,3366.0,31.0,,,,,,,,,2768.0,2.0,,,,
10815_ybiA,,,,,71.0,1.0,,,,,39.0,1.0,65.0,1.0,77.0,7.0,62.0,14.0,56.0,0.0,60.0,0.0,26.0,0.0,28.0,10.0
10834_uvrB_1,,,,,,,,,,,2035.0,84.0,,,,,,,,,,,,,,
10835_uvrB_2,,,,,,,,,,,3582.0,169.0,,,,,,,,,,,,,,
10863_zitB,,,,,,,,,,,118.0,9.0,286.0,14.0,,,,,313.0,2.0,,,,,,
10871_exbB_1,,,,,,,,,,,434.0,80.0,,,,,,,,,,,,,,
10872_exbB_2,,,,,,,3733.0,162.0,,,1521.0,182.0,,,,,,,,,,,,,,
10874_hypothetical_protein,,,,,,,,,,,346.0,58.0,522.0,74.0,,,,,,,,,,,,
10878_hypothetical_protein,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,,,5.0,0.0,6.0,0.0,,,6.0,2.0
10879_Tetratricopeptide_repeat_protein,,,,,,,,,,,111.0,2.0,,,53.0,9.0,,,91.0,4.0,,,,,,
10890_hypothetical_protein,,,,,,,,,,,64.0,0.0,,,208.0,10.0,,,201.0,0.0,64.0,0.0,,,33.0,3.0
10892_nei,,,,,,,,,,,1428.0,40.0,,,,,,,,,,,,,,
10896_ybgI,,,,,,,,,,,3127.0,77.0,,,,,2802.0,639.0,,,,,,,,
10907_potE,,,,,87.0,4.0,296.0,1.0,,,115.0,0.0,,,225.0,27.0,132.0,46.0,173.0,1.0,,,71.0,2.0,161.0,17.0
10910_ybfF_1,,,,,,,,,,,1158.0,88.0,,,,,,,,,,,,,,
