,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
b0873,PROKKA_00383,PROKKA_03838,PROKKA_04559,PROKKA_00163,PROKKA_00776,PROKKA_00881,PROKKA_00655,PROKKA_02624,PROKKA_03809,PROKKA_04556,PROKKA_00786,PROKKA_04369,PROKKA_00153,PROKKA_04043
b0124,PROKKA_04558,PROKKA_03054,PROKKA_03805,PROKKA_04492,PROKKA_04741,PROKKA_01717,PROKKA_01426,PROKKA_01848,PROKKA_04594,PROKKA_03798,PROKKA_03285,PROKKA_03546,PROKKA_04308,PROKKA_04767
b3464,PROKKA_03302,PROKKA_01864,PROKKA_02444,PROKKA_03233,PROKKA_03552,PROKKA_02948,PROKKA_02665,PROKKA_00488,PROKKA_01045,PROKKA_02460,PROKKA_04587,PROKKA_02349,PROKKA_02947,PROKKA_01016
b0758,PROKKA_00252,PROKKA_03717,PROKKA_04441,PROKKA_00017,PROKKA_00647,PROKKA_00998,PROKKA_00774,PROKKA_02501,PROKKA_03926,PROKKA_04438,PROKKA_00520,PROKKA_04248,PROKKA_04952,PROKKA_04163
b2953,PROKKA_02751,PROKKA_01360,PROKKA_01804,PROKKA_02603,PROKKA_03013,PROKKA_03594,PROKKA_03239,PROKKA_05023,PROKKA_01605,PROKKA_01802,PROKKA_05298,PROKKA_01756,PROKKA_02382,PROKKA_01704
b0453,PROKKA_04945,PROKKA_03428,PROKKA_04140,PROKKA_04907,PROKKA_00283,PROKKA_01271,PROKKA_01060,PROKKA_02214,PROKKA_04203,PROKKA_04172,PROKKA_00173,PROKKA_03978,PROKKA_04686,PROKKA_04444
b2306,PROKKA_02079,PROKKA_00650,PROKKA_01112,PROKKA_01894,PROKKA_02347,PROKKA_04220,PROKKA_03881,PROKKA_04411,PROKKA_02290,PROKKA_01144,PROKKA_02686,PROKKA_01126,PROKKA_01772,PROKKA_02359
b4622,PROKKA_04070,PROKKA_02551,PROKKA_03262,PROKKA_04006,PROKKA_04269,PROKKA_02193,PROKKA_01939,PROKKA_01271,PROKKA_00315,PROKKA_03198,PROKKA_03921,PROKKA_03067,PROKKA_03745,PROKKA_00209
b1671,PROKKA_01319,PROKKA_04625,PROKKA_00333,PROKKA_01176,PROKKA_01651,PROKKA_04997,PROKKA_04623,PROKKA_03507,PROKKA_03009,PROKKA_00329,PROKKA_01831,PROKKA_00320,PROKKA_01040,PROKKA_03132
b2130,PROKKA_01900,PROKKA_00489,PROKKA_00932,PROKKA_01708,PROKKA_02178,PROKKA_04400,PROKKA_04058,PROKKA_04163,PROKKA_02467,PROKKA_00965,PROKKA_02457,PROKKA_00946,PROKKA_01594,PROKKA_02542
b2701,PROKKA_02466,PROKKA_01059,PROKKA_01517,PROKKA_02287,PROKKA_02737,PROKKA_03875,PROKKA_03528,PROKKA_05310,PROKKA_01905,PROKKA_01536,PROKKA_05621,PROKKA_01469,PROKKA_02108,PROKKA_02009
b1852,PROKKA_01512,PROKKA_00176,PROKKA_00518,PROKKA_01388,PROKKA_01842,PROKKA_04804,PROKKA_04426,PROKKA_03701,PROKKA_02823,PROKKA_00516,PROKKA_02042,PROKKA_00509,PROKKA_01225,PROKKA_02925
b0853,PROKKA_00358,PROKKA_03818,PROKKA_04538,PROKKA_00140,PROKKA_00755,PROKKA_00901,PROKKA_00676,PROKKA_02604,PROKKA_03829,PROKKA_04535,PROKKA_00760,PROKKA_04349,PROKKA_00133,PROKKA_04064
b2582,PROKKA_02346,PROKKA_00969,PROKKA_01371,PROKKA_02189,PROKKA_02621,PROKKA_03965,PROKKA_03631,PROKKA_04737,PROKKA_01988,PROKKA_01448,PROKKA_02990,PROKKA_01378,PROKKA_02017,PROKKA_02103
b3398,PROKKA_03232,PROKKA_01795,PROKKA_02376,PROKKA_03160,PROKKA_03481,PROKKA_03027,PROKKA_02742,PROKKA_00410,PROKKA_01117,PROKKA_02382,PROKKA_04664,PROKKA_02266,PROKKA_02875,PROKKA_01097
b3704,PROKKA_03616,PROKKA_02132,PROKKA_02808,PROKKA_03552,PROKKA_03833,PROKKA_02659,PROKKA_02393,PROKKA_00759,PROKKA_00779,PROKKA_02741,PROKKA_04156,PROKKA_02610,PROKKA_03251,PROKKA_00747
b1846,PROKKA_01506,PROKKA_00168,PROKKA_00512,PROKKA_01380,PROKKA_01834,PROKKA_04810,PROKKA_04432,PROKKA_03694,PROKKA_02830,PROKKA_00510,PROKKA_02033,PROKKA_00503,PROKKA_01219,PROKKA_02932
b2243,PROKKA_02018,PROKKA_00594,PROKKA_01048,PROKKA_01833,PROKKA_02288,PROKKA_04280,PROKKA_03941,PROKKA_04346,PROKKA_02353,PROKKA_01083,PROKKA_02611,PROKKA_01063,PROKKA_01709,PROKKA_02424
b3058,PROKKA_02909,PROKKA_01468,PROKKA_02037,PROKKA_02806,PROKKA_03179,PROKKA_03370,PROKKA_03081,PROKKA_00061,PROKKA_01456,PROKKA_02044,PROKKA_05100,PROKKA_01920,PROKKA_02536,PROKKA_01453
b2251,PROKKA_02027,PROKKA_00599,PROKKA_01058,PROKKA_01838,PROKKA_02293,PROKKA_04271,PROKKA_03932,PROKKA_04356,PROKKA_02344,PROKKA_01092,PROKKA_02622,PROKKA_01072,PROKKA_01718,PROKKA_02415
b0710,PROKKA_00194,PROKKA_03667,PROKKA_04385,PROKKA_05189,PROKKA_00596,PROKKA_01044,PROKKA_00821,PROKKA_02456,PROKKA_03973,PROKKA_04392,PROKKA_00435,PROKKA_04203,PROKKA_04910,PROKKA_04210
b3668,PROKKA_03576,PROKKA_02093,PROKKA_02774,PROKKA_03506,PROKKA_03796,PROKKA_02692,PROKKA_02426,PROKKA_00727,PROKKA_00811,PROKKA_02709,PROKKA_04203,PROKKA_02579,PROKKA_03218,PROKKA_00779
b0765,PROKKA_00259,PROKKA_03724,PROKKA_04448,PROKKA_00024,PROKKA_00654,PROKKA_00991,PROKKA_00767,PROKKA_02508,PROKKA_03919,PROKKA_04445,PROKKA_00529,PROKKA_04255,PROKKA_04959,PROKKA_04156
b3828,PROKKA_03744,PROKKA_02264,PROKKA_02936,PROKKA_03692,PROKKA_03969,PROKKA_02533,PROKKA_02264,PROKKA_00890,PROKKA_00648,PROKKA_02865,PROKKA_05794,PROKKA_02742,PROKKA_03380,PROKKA_00620
b2792,PROKKA_02563,PROKKA_01152,PROKKA_01613,PROKKA_02399,PROKKA_02827,PROKKA_03779,PROKKA_03430,PROKKA_05206,PROKKA_01785,PROKKA_01628,PROKKA_05518,PROKKA_01574,PROKKA_02203,PROKKA_01893
b4199,PROKKA_04232,PROKKA_02667,PROKKA_03394,PROKKA_04130,PROKKA_04390,PROKKA_02072,PROKKA_01819,PROKKA_01477,PROKKA_00185,PROKKA_03389,PROKKA_03715,PROKKA_03187,PROKKA_03973,PROKKA_00087
b3288,PROKKA_03139,PROKKA_01701,PROKKA_02268,PROKKA_03060,PROKKA_03380,PROKKA_03135,PROKKA_02849,PROKKA_00301,PROKKA_01225,PROKKA_02273,PROKKA_04767,PROKKA_02157,PROKKA_02767,PROKKA_01208
b4485,PROKKA_04262,PROKKA_02703,PROKKA_03431,PROKKA_04168,PROKKA_04419,PROKKA_02034,PROKKA_01783,PROKKA_01505,PROKKA_00150,PROKKA_03354,PROKKA_03676,PROKKA_03225,PROKKA_04009,PROKKA_00053
b4108,PROKKA_04089,PROKKA_02570,PROKKA_03288,PROKKA_04030,PROKKA_04288,PROKKA_02168,PROKKA_01914,PROKKA_01296,PROKKA_00289,PROKKA_03223,PROKKA_03893,PROKKA_03092,PROKKA_03770,PROKKA_00184
b3524,PROKKA_03400,PROKKA_01928,PROKKA_02516,PROKKA_03311,PROKKA_03615,PROKKA_02874,PROKKA_02596,PROKKA_00553,PROKKA_00974,PROKKA_02531,PROKKA_04509,PROKKA_02421,PROKKA_03019,PROKKA_00951
b3667,PROKKA_03575,PROKKA_02092,PROKKA_02773,PROKKA_03505,PROKKA_03795,PROKKA_02693,PROKKA_02427,PROKKA_00726,PROKKA_00812,PROKKA_02708,PROKKA_04204,PROKKA_02578,PROKKA_03217,PROKKA_00780
b0764,PROKKA_00258,PROKKA_03723,PROKKA_04447,PROKKA_00023,PROKKA_00653,PROKKA_00992,PROKKA_00768,PROKKA_02507,PROKKA_03920,PROKKA_04444,PROKKA_00528,PROKKA_04254,PROKKA_04958,PROKKA_04157
b2514,PROKKA_02268,PROKKA_00895,PROKKA_01301,PROKKA_02105,PROKKA_02544,PROKKA_04033,PROKKA_03700,PROKKA_04667,PROKKA_02115,PROKKA_01378,PROKKA_02904,PROKKA_01305,PROKKA_01949,PROKKA_02175
b1682,PROKKA_01330,PROKKA_04636,PROKKA_00345,PROKKA_01188,PROKKA_01662,PROKKA_04985,PROKKA_04611,PROKKA_03518,PROKKA_02998,PROKKA_00340,PROKKA_01843,PROKKA_00331,PROKKA_01051,PROKKA_03119
b2536,PROKKA_02295,PROKKA_00920,PROKKA_01327,PROKKA_02131,PROKKA_02571,PROKKA_04008,PROKKA_03675,PROKKA_04692,PROKKA_02090,PROKKA_01405,PROKKA_02933,PROKKA_01330,PROKKA_01974,PROKKA_02150
b0965,PROKKA_00471,PROKKA_03932,PROKKA_04758,PROKKA_00301,PROKKA_00929,PROKKA_00793,PROKKA_00561,PROKKA_02712,PROKKA_03722,PROKKA_04641,PROKKA_00944,PROKKA_04466,PROKKA_00270,PROKKA_03944
b3819,PROKKA_03735,PROKKA_02255,PROKKA_02926,PROKKA_03682,PROKKA_03960,PROKKA_02542,PROKKA_02273,PROKKA_00881,PROKKA_00657,PROKKA_02856,PROKKA_05783,PROKKA_02733,PROKKA_03371,PROKKA_00629
b1867,PROKKA_01529,PROKKA_00192,PROKKA_00537,PROKKA_01404,PROKKA_01859,PROKKA_04786,PROKKA_04410,PROKKA_03718,PROKKA_02807,PROKKA_00533,PROKKA_02060,PROKKA_00526,PROKKA_01241,PROKKA_02909
b1492,PROKKA_01093,PROKKA_04432,PROKKA_00194,PROKKA_00922,PROKKA_01483,PROKKA_00034,PROKKA_00029,PROKKA_03363,PROKKA_03141,PROKKA_00180,PROKKA_01566,PROKKA_00116,PROKKA_00859,PROKKA_03297
b1525,PROKKA_01139,PROKKA_04468,PROKKA_00217,PROKKA_00987,PROKKA_01522,PROKKA_05122,PROKKA_04801,PROKKA_03385,PROKKA_03117,PROKKA_00210,PROKKA_01617,PROKKA_00143,PROKKA_00917,PROKKA_03248
b0867,PROKKA_00377,PROKKA_03832,PROKKA_04552,PROKKA_00156,PROKKA_00769,PROKKA_00887,PROKKA_00661,PROKKA_02618,PROKKA_03815,PROKKA_04549,PROKKA_00777,PROKKA_04363,PROKKA_00147,PROKKA_04050
b3365,PROKKA_03205,PROKKA_01767,PROKKA_02348,PROKKA_03130,PROKKA_03448,PROKKA_03054,PROKKA_02769,PROKKA_00382,PROKKA_01145,PROKKA_02355,PROKKA_04693,PROKKA_02237,PROKKA_02848,PROKKA_01125
b2925,PROKKA_02719,PROKKA_01322,PROKKA_01772,PROKKA_02568,PROKKA_02979,PROKKA_03626,PROKKA_03275,PROKKA_05056,PROKKA_01637,PROKKA_01770,PROKKA_05329,PROKKA_01724,PROKKA_02350,PROKKA_01739
b1427,PROKKA_01017,PROKKA_04357,PROKKA_00146,PROKKA_00844,PROKKA_01418,PROKKA_00101,PROKKA_00089,PROKKA_03300,PROKKA_03199,PROKKA_00120,PROKKA_01496,PROKKA_00054,PROKKA_00798,PROKKA_03353
b0019,PROKKA_04448,PROKKA_02943,PROKKA_03684,PROKKA_04374,PROKKA_04628,PROKKA_01834,PROKKA_01537,PROKKA_01738,PROKKA_04711,PROKKA_03685,PROKKA_03410,PROKKA_03432,PROKKA_04194,PROKKA_04879
b0740,PROKKA_00234,PROKKA_03698,PROKKA_04423,PROKKA_05223,PROKKA_00628,PROKKA_01016,PROKKA_00794,PROKKA_02483,PROKKA_03944,PROKKA_04419,PROKKA_00499,PROKKA_04230,PROKKA_04936,PROKKA_04182
b1424,PROKKA_01015,PROKKA_04355,PROKKA_00144,PROKKA_00842,PROKKA_01416,PROKKA_00103,PROKKA_00091,PROKKA_03298,PROKKA_03201,PROKKA_00118,PROKKA_01494,PROKKA_00052,PROKKA_00796,PROKKA_03355
b1063,PROKKA_00555,PROKKA_04030,PROKKA_04848,PROKKA_00408,PROKKA_01029,PROKKA_00570,PROKKA_00480,PROKKA_02798,PROKKA_03635,PROKKA_04728,PROKKA_01038,PROKKA_04715,PROKKA_00423,PROKKA_03760
b3399,PROKKA_03233,PROKKA_01796,PROKKA_02377,PROKKA_03161,PROKKA_03482,PROKKA_03026,PROKKA_02741,PROKKA_00411,PROKKA_01116,PROKKA_02383,PROKKA_04663,PROKKA_02267,PROKKA_02876,PROKKA_01096
b4390,PROKKA_04412,PROKKA_02913,PROKKA_03650,PROKKA_04342,PROKKA_04597,PROKKA_01870,PROKKA_01575,PROKKA_01701,PROKKA_04744,PROKKA_03649,PROKKA_03450,PROKKA_03396,PROKKA_04159,PROKKA_04914
b1205,PROKKA_00764,PROKKA_04152,PROKKA_05071,PROKKA_00580,PROKKA_01210,PROKKA_00295,PROKKA_00349,PROKKA_03028,PROKKA_03449,PROKKA_05020,PROKKA_01221,PROKKA_04946,PROKKA_00618,PROKKA_03550
b2910,PROKKA_02703,PROKKA_01305,PROKKA_01757,PROKKA_02551,PROKKA_02962,PROKKA_03639,PROKKA_03288,PROKKA_05070,PROKKA_01650,PROKKA_01757,PROKKA_05348,PROKKA_01711,PROKKA_02337,PROKKA_01752
b3062,PROKKA_02913,PROKKA_01472,PROKKA_02041,PROKKA_02811,PROKKA_03175,PROKKA_03366,PROKKA_03077,PROKKA_00065,PROKKA_01452,PROKKA_02048,PROKKA_05095,PROKKA_01924,PROKKA_02540,PROKKA_01449
b2065,PROKKA_01780,PROKKA_00400,PROKKA_00863,PROKKA_01612,PROKKA_02107,PROKKA_04473,PROKKA_04139,PROKKA_04094,PROKKA_02535,PROKKA_00896,PROKKA_02364,PROKKA_00878,PROKKA_01527,PROKKA_02619
b2317,PROKKA_02090,PROKKA_00661,PROKKA_01123,PROKKA_01906,PROKKA_02358,PROKKA_04208,PROKKA_03870,PROKKA_04422,PROKKA_02279,PROKKA_01156,PROKKA_02698,PROKKA_01137,PROKKA_01783,PROKKA_02346
b0169,PROKKA_04603,PROKKA_03098,PROKKA_03854,PROKKA_04538,PROKKA_04786,PROKKA_01671,PROKKA_01380,PROKKA_01894,PROKKA_04545,PROKKA_03843,PROKKA_03231,PROKKA_03592,PROKKA_04352,PROKKA_04719
b2129,PROKKA_01899,PROKKA_00488,PROKKA_00931,PROKKA_01707,PROKKA_02177,PROKKA_04401,PROKKA_04059,PROKKA_04162,PROKKA_02468,PROKKA_00964,PROKKA_02456,PROKKA_00945,PROKKA_01593,PROKKA_02543
b3781,PROKKA_03692,PROKKA_02213,PROKKA_02884,PROKKA_03635,PROKKA_03915,PROKKA_02586,PROKKA_02315,PROKKA_00833,PROKKA_00699,PROKKA_02813,PROKKA_05738,PROKKA_02689,PROKKA_03327,PROKKA_00673
b3242,PROKKA_03093,PROKKA_01656,PROKKA_02215,PROKKA_03008,PROKKA_03334,PROKKA_03190,PROKKA_02904,PROKKA_00245,PROKKA_01280,PROKKA_02216,PROKKA_04828,PROKKA_02101,PROKKA_02712,PROKKA_01266
b2143,PROKKA_01912,PROKKA_00501,PROKKA_00944,PROKKA_01728,PROKKA_02190,PROKKA_04387,PROKKA_04046,PROKKA_04175,PROKKA_02455,PROKKA_00978,PROKKA_02473,PROKKA_00958,PROKKA_01606,PROKKA_02530
b1531,PROKKA_01145,PROKKA_04475,PROKKA_00222,PROKKA_00996,PROKKA_01529,PROKKA_05117,PROKKA_04796,PROKKA_03391,PROKKA_03112,PROKKA_00215,PROKKA_01626,PROKKA_00148,PROKKA_00922,PROKKA_03242
b2763,PROKKA_02534,PROKKA_01122,PROKKA_01578,PROKKA_02365,PROKKA_02806,PROKKA_03811,PROKKA_03465,PROKKA_05246,PROKKA_01824,PROKKA_01598,PROKKA_05551,PROKKA_01533,PROKKA_02168,PROKKA_01930
b3599,PROKKA_03488,PROKKA_02016,PROKKA_02597,PROKKA_03407,PROKKA_03703,PROKKA_02791,PROKKA_02506,PROKKA_00645,PROKKA_00892,PROKKA_02610,PROKKA_04398,PROKKA_02497,PROKKA_03094,PROKKA_00874
b0239,PROKKA_04709,PROKKA_03226,PROKKA_03964,PROKKA_04675,PROKKA_00091,PROKKA_01508,PROKKA_01227,PROKKA_02042,PROKKA_04445,PROKKA_04005,PROKKA_03071,PROKKA_03744,PROKKA_04496,PROKKA_04624
b0639,PROKKA_00134,PROKKA_03599,PROKKA_04317,PROKKA_05117,PROKKA_00525,PROKKA_01108,PROKKA_00896,PROKKA_02392,PROKKA_04041,PROKKA_04330,PROKKA_00366,PROKKA_04139,PROKKA_04848,PROKKA_04272
b2751,PROKKA_02518,PROKKA_01114,PROKKA_01571,PROKKA_02349,PROKKA_02792,PROKKA_03818,PROKKA_03471,PROKKA_05252,PROKKA_01831,PROKKA_01592,PROKKA_05567,PROKKA_01527,PROKKA_02162,PROKKA_01936
b2831,PROKKA_02606,PROKKA_01195,PROKKA_01694,PROKKA_02451,PROKKA_02870,PROKKA_03707,PROKKA_03352,PROKKA_05133,PROKKA_01712,PROKKA_01695,PROKKA_05463,PROKKA_01648,PROKKA_02273,PROKKA_01819
b0193,PROKKA_04628,PROKKA_03125,PROKKA_03879,PROKKA_04567,PROKKA_00020,PROKKA_01643,PROKKA_01353,PROKKA_01921,PROKKA_04519,PROKKA_03872,PROKKA_03200,PROKKA_03618,PROKKA_04379,PROKKA_04694
b0662,PROKKA_00157,PROKKA_03623,PROKKA_04339,PROKKA_05143,PROKKA_00550,PROKKA_01090,PROKKA_00878,PROKKA_02409,PROKKA_04018,PROKKA_04348,PROKKA_00391,PROKKA_04156,PROKKA_04866,PROKKA_04254
b3165,PROKKA_03017,PROKKA_01579,PROKKA_02139,PROKKA_02929,PROKKA_03258,PROKKA_03267,PROKKA_02979,PROKKA_00167,PROKKA_01354,PROKKA_02143,PROKKA_04908,PROKKA_02025,PROKKA_02639,PROKKA_01342
b1900,PROKKA_01559,PROKKA_00236,PROKKA_00568,PROKKA_01435,PROKKA_01894,PROKKA_04756,PROKKA_04380,PROKKA_03839,PROKKA_02776,PROKKA_00564,PROKKA_02095,PROKKA_00556,PROKKA_01271,PROKKA_02877
b2952,PROKKA_02750,PROKKA_01359,PROKKA_01803,PROKKA_02602,PROKKA_03012,PROKKA_03595,PROKKA_03240,PROKKA_05024,PROKKA_01606,PROKKA_01801,PROKKA_05299,PROKKA_01755,PROKKA_02381,PROKKA_01705
b0917,PROKKA_00428,PROKKA_03884,PROKKA_04717,PROKKA_00248,PROKKA_00879,PROKKA_00835,PROKKA_00607,PROKKA_02670,PROKKA_03764,PROKKA_04600,PROKKA_00892,PROKKA_04422,PROKKA_00228,PROKKA_03986
b1444,PROKKA_01034,PROKKA_04375,PROKKA_00160,PROKKA_00862,PROKKA_01438,PROKKA_00086,PROKKA_00075,PROKKA_03315,PROKKA_03185,PROKKA_00134,PROKKA_01516,PROKKA_00068,PROKKA_00812,PROKKA_03337
b2264,PROKKA_02041,PROKKA_00613,PROKKA_01073,PROKKA_01853,PROKKA_02307,PROKKA_04257,PROKKA_03918,PROKKA_04371,PROKKA_02330,PROKKA_01106,PROKKA_02637,PROKKA_01087,PROKKA_01732,PROKKA_02401
