gene_id	HM1	HM14	HM17	HM3	HM43	HM54	HM56	HM57	HM6	HM66	HM68	HM7	HM86
14833_btuD	PROKKA_01361	PROKKA_01693	PROKKA_04954	PROKKA_00031	PROKKA_04580	PROKKA_03550	PROKKA_02969	PROKKA_00370	PROKKA_00374	PROKKA_00361	PROKKA_01083	PROKKA_01221	PROKKA_03088
14835_btuC	PROKKA_01363	PROKKA_01695	PROKKA_04952	PROKKA_00033	PROKKA_04578	PROKKA_03552	PROKKA_02966	PROKKA_00372	PROKKA_00377	PROKKA_00363	PROKKA_01085	PROKKA_01223	PROKKA_03086
14836_ihfA	PROKKA_01365	PROKKA_01697	PROKKA_04950	PROKKA_00035	PROKKA_04576	PROKKA_03554	PROKKA_02964	PROKKA_00374	PROKKA_00379	PROKKA_00365	PROKKA_01087	PROKKA_01225	PROKKA_03084
14838_pheS	PROKKA_01367	PROKKA_01699	PROKKA_04948	PROKKA_00037	PROKKA_04574	PROKKA_03556	PROKKA_02962	PROKKA_00376	PROKKA_00381	PROKKA_00367	PROKKA_01089	PROKKA_01227	PROKKA_03081
14839_rplT	PROKKA_01369	PROKKA_01701	PROKKA_04946	PROKKA_00039	PROKKA_04572	PROKKA_03558	PROKKA_02960	PROKKA_00378	PROKKA_00383	PROKKA_00369	PROKKA_01091	PROKKA_01229	PROKKA_03079
14841_infC	PROKKA_01371	PROKKA_01703	PROKKA_04944	PROKKA_00041	PROKKA_04570	PROKKA_03560	PROKKA_02958	PROKKA_00380	PROKKA_00385	PROKKA_00371	PROKKA_01093	PROKKA_01230	PROKKA_03077
14846_pfkB	PROKKA_01376	PROKKA_01710	PROKKA_04939	PROKKA_00046	PROKKA_04565	PROKKA_03565	PROKKA_02953	PROKKA_00385	PROKKA_00390	PROKKA_00376	PROKKA_01098	PROKKA_01238	PROKKA_03071
14848_Fructosamine_kinase	PROKKA_01378	PROKKA_01712	PROKKA_04937	PROKKA_00048	PROKKA_04563	PROKKA_03567	PROKKA_02951	PROKKA_00387	PROKKA_00392	PROKKA_00378	PROKKA_01100	PROKKA_01240	PROKKA_03069
14849_hypothetical_protein	PROKKA_01379	PROKKA_01713	PROKKA_04936	PROKKA_00049	PROKKA_04562	PROKKA_03568	PROKKA_02950	PROKKA_00388	PROKKA_00393	PROKKA_00379	PROKKA_01101	PROKKA_01241	PROKKA_03068
14850_yniC	PROKKA_01380	PROKKA_01714	PROKKA_04935	PROKKA_00050	PROKKA_04561	PROKKA_03569	PROKKA_02949	PROKKA_00389	PROKKA_00394	PROKKA_00380	PROKKA_01102	PROKKA_01242	PROKKA_03067
14851_ydjM	PROKKA_01381	PROKKA_01715	PROKKA_04934	PROKKA_00051	PROKKA_04560	PROKKA_03570	PROKKA_02948	PROKKA_00390	PROKKA_00395	PROKKA_00381	PROKKA_01103	PROKKA_01243	PROKKA_03066
14852_tcyP	PROKKA_01382	PROKKA_01716	PROKKA_04933	PROKKA_00052	PROKKA_04559	PROKKA_03571	PROKKA_02947	PROKKA_00391	PROKKA_00396	PROKKA_00382	PROKKA_01104	PROKKA_01244	PROKKA_03065
14856_hypothetical_protein	PROKKA_01386	PROKKA_01721	PROKKA_04930	PROKKA_00056	PROKKA_04555	PROKKA_03574	PROKKA_02944	PROKKA_00394	PROKKA_00399	PROKKA_00385	PROKKA_01107	PROKKA_01249	PROKKA_03062
14857_chbF	PROKKA_01387	PROKKA_01722	PROKKA_04929	PROKKA_00057	PROKKA_04554	PROKKA_03575	PROKKA_02943	PROKKA_00395	PROKKA_00400	PROKKA_00386	PROKKA_01108	PROKKA_01250	PROKKA_03061
14858_chbR	PROKKA_01388	PROKKA_01723	PROKKA_04928	PROKKA_00058	PROKKA_04553	PROKKA_03576	PROKKA_02942	PROKKA_00396	PROKKA_00401	PROKKA_00387	PROKKA_01109	PROKKA_01251	PROKKA_03060
14859_chbA_1	PROKKA_01389	PROKKA_01724	PROKKA_04927	PROKKA_00059	PROKKA_04552	PROKKA_03577	PROKKA_02941	PROKKA_00397	PROKKA_00402	PROKKA_00388	PROKKA_01110	PROKKA_01252	PROKKA_03059
14860_chbC_1	PROKKA_01390	PROKKA_01725	PROKKA_04926	PROKKA_00060	PROKKA_04551	PROKKA_03578	PROKKA_02940	PROKKA_00398	PROKKA_00403	PROKKA_00389	PROKKA_01111	PROKKA_01253	PROKKA_03058
14861_chbB	PROKKA_01391	PROKKA_01726	PROKKA_04925	PROKKA_00061	PROKKA_04550	PROKKA_03579	PROKKA_02939	PROKKA_00399	PROKKA_00404	PROKKA_00390	PROKKA_01113	PROKKA_01254	PROKKA_03057
14862_osmE	PROKKA_01392	PROKKA_01727	PROKKA_04924	PROKKA_00062	PROKKA_04549	PROKKA_03580	PROKKA_02938	PROKKA_00400	PROKKA_00405	PROKKA_00391	PROKKA_01114	PROKKA_01255	PROKKA_03056
14863_nadE	PROKKA_01393	PROKKA_01728	PROKKA_04923	PROKKA_00063	PROKKA_04548	PROKKA_03581	PROKKA_02937	PROKKA_00401	PROKKA_00406	PROKKA_00392	PROKKA_01115	PROKKA_01256	PROKKA_03055
14864_cho	PROKKA_01394	PROKKA_01729	PROKKA_04922	PROKKA_00064	PROKKA_04547	PROKKA_03582	PROKKA_02936	PROKKA_00402	PROKKA_00407	PROKKA_00393	PROKKA_01116	PROKKA_01257	PROKKA_03054
14865_hypothetical_protein	PROKKA_01395	PROKKA_01730	PROKKA_04921	PROKKA_00065	PROKKA_04546	PROKKA_03583	PROKKA_02935	PROKKA_00403	PROKKA_00408	PROKKA_00394	PROKKA_01117	PROKKA_01258	PROKKA_03053
14866_spy	PROKKA_01396	PROKKA_01731	PROKKA_04920	PROKKA_00066	PROKKA_04545	PROKKA_03584	PROKKA_02934	PROKKA_00404	PROKKA_00409	PROKKA_00395	PROKKA_01118	PROKKA_01259	PROKKA_03052
14869_astD	PROKKA_01399	PROKKA_01734	PROKKA_04917	PROKKA_00069	PROKKA_04542	PROKKA_03587	PROKKA_02931	PROKKA_00407	PROKKA_00412	PROKKA_00398	PROKKA_01121	PROKKA_01261	PROKKA_03049
14871_astC	PROKKA_01401	PROKKA_01736	PROKKA_04915	PROKKA_00071	PROKKA_04540	PROKKA_03589	PROKKA_02929	PROKKA_00409	PROKKA_00414	PROKKA_00400	PROKKA_01123	PROKKA_01264	PROKKA_03047
14872_xthA	PROKKA_01402	PROKKA_01737	PROKKA_04914	PROKKA_00072	PROKKA_04539	PROKKA_03590	PROKKA_02928	PROKKA_00410	PROKKA_00415	PROKKA_00401	PROKKA_01124	PROKKA_01265	PROKKA_03046
14873_ydjZ_1	PROKKA_01403	PROKKA_01738	PROKKA_04913	PROKKA_00073	PROKKA_04538	PROKKA_03591	PROKKA_02927	PROKKA_00411	PROKKA_00416	PROKKA_00402	PROKKA_01125	PROKKA_01266	PROKKA_03045
14874_hypothetical_protein	PROKKA_01404	PROKKA_01739	PROKKA_04912	PROKKA_00074	PROKKA_04537	PROKKA_03592	PROKKA_02926	PROKKA_00412	PROKKA_00417	PROKKA_00403	PROKKA_01126	PROKKA_01267	PROKKA_03044
14875_ydjZ_2	PROKKA_01405	PROKKA_01740	PROKKA_04911	PROKKA_00075	PROKKA_04536	PROKKA_03593	PROKKA_02925	PROKKA_00413	PROKKA_00418	PROKKA_00404	PROKKA_01127	PROKKA_01268	PROKKA_03043
14876_Carboxymuconolactone_decarboxylase_family_protein	PROKKA_01406	PROKKA_01741	PROKKA_04910	PROKKA_00076	PROKKA_04535	PROKKA_03594	PROKKA_02924	PROKKA_00414	PROKKA_00419	PROKKA_00405	PROKKA_01128	PROKKA_01269	PROKKA_03042
14877_hypothetical_protein	PROKKA_01407	PROKKA_01742	PROKKA_04909	PROKKA_00077	PROKKA_04534	PROKKA_03595	PROKKA_02923	PROKKA_00415	PROKKA_00420	PROKKA_00406	PROKKA_01129	PROKKA_01270	PROKKA_03041
14879_fbpC2	PROKKA_01409	PROKKA_01744	PROKKA_04907	PROKKA_00079	PROKKA_04531	PROKKA_03597	PROKKA_02921	PROKKA_00417	PROKKA_00422	PROKKA_00408	PROKKA_01131	PROKKA_01273	PROKKA_03037
14880_ynjE	PROKKA_01410	PROKKA_01745	PROKKA_04906	PROKKA_00080	PROKKA_04530	PROKKA_03598	PROKKA_02920	PROKKA_00418	PROKKA_00423	PROKKA_00409	PROKKA_01132	PROKKA_01274	PROKKA_03036
14882_nudG	PROKKA_01412	PROKKA_01747	PROKKA_04904	PROKKA_00082	PROKKA_04528	PROKKA_03600	PROKKA_02918	PROKKA_00420	PROKKA_00425	PROKKA_00411	PROKKA_01134	PROKKA_01276	PROKKA_03034
14883_hypothetical_protein	PROKKA_01413	PROKKA_01748	PROKKA_04903	PROKKA_00083	PROKKA_04527	PROKKA_03601	PROKKA_02917	PROKKA_00421	PROKKA_00426	PROKKA_00412	PROKKA_01135	PROKKA_01277	PROKKA_03033
14886_topB	PROKKA_01415	PROKKA_01751	PROKKA_04898	PROKKA_00086	PROKKA_04521	PROKKA_03605	PROKKA_02915	PROKKA_00426	PROKKA_00428	PROKKA_00414	PROKKA_01137	PROKKA_01282	PROKKA_03024
14888_ydjA	PROKKA_01417	PROKKA_01753	PROKKA_04896	PROKKA_00088	PROKKA_04519	PROKKA_03607	PROKKA_02913	PROKKA_00428	PROKKA_00430	PROKKA_00416	PROKKA_01139	PROKKA_01284	PROKKA_03022
14889_sppA	PROKKA_01418	PROKKA_01754	PROKKA_04895	PROKKA_00089	PROKKA_04518	PROKKA_03608	PROKKA_02912	PROKKA_00429	PROKKA_00431	PROKKA_00417	PROKKA_01140	PROKKA_01285	PROKKA_03021
14891_nicotinamidase-pyrazinamidase	PROKKA_01420	PROKKA_01756	PROKKA_04892	PROKKA_00091	PROKKA_04516	PROKKA_03610	PROKKA_02909	PROKKA_00431	PROKKA_00434	PROKKA_00419	PROKKA_01142	PROKKA_01288	PROKKA_03019
14892_hypothetical_protein	PROKKA_01430	PROKKA_01757	PROKKA_04883	PROKKA_00092	PROKKA_04507	PROKKA_03621	PROKKA_02900	PROKKA_00440	PROKKA_00443	PROKKA_00428	PROKKA_01152	PROKKA_01297	PROKKA_03007
14895_yeaD	PROKKA_01433	PROKKA_01760	PROKKA_04880	PROKKA_00095	PROKKA_04504	PROKKA_03624	PROKKA_02897	PROKKA_00443	PROKKA_00446	PROKKA_00433	PROKKA_01155	PROKKA_01300	PROKKA_03004
14897_mipA_1	PROKKA_01435	PROKKA_01763	PROKKA_04878	PROKKA_00097	PROKKA_04502	PROKKA_03627	PROKKA_02894	PROKKA_00446	PROKKA_00449	PROKKA_00435	PROKKA_01158	PROKKA_01302	PROKKA_03002
14898_PrkA_AAA_domain_protein	PROKKA_01436	PROKKA_01764	PROKKA_04877	PROKKA_00098	PROKKA_04501	PROKKA_03628	PROKKA_02893	PROKKA_00447	PROKKA_00450	PROKKA_00437	PROKKA_01159	PROKKA_01303	PROKKA_03001
14899_hypothetical_protein	PROKKA_01437	PROKKA_01765	PROKKA_04876	PROKKA_00099	PROKKA_04500	PROKKA_03629	PROKKA_02892	PROKKA_00448	PROKKA_00451	PROKKA_00438	PROKKA_01160	PROKKA_01304	PROKKA_02997
14900_yeaI	PROKKA_01438	PROKKA_01766	PROKKA_04875	PROKKA_00100	PROKKA_04499	PROKKA_03632	PROKKA_02891	PROKKA_00449	PROKKA_00452	PROKKA_00439	PROKKA_01161	PROKKA_01305	PROKKA_02996
14901_yeaJ	PROKKA_01439	PROKKA_01767	PROKKA_04874	PROKKA_00101	PROKKA_04498	PROKKA_03633	PROKKA_02890	PROKKA_00450	PROKKA_00453	PROKKA_00440	PROKKA_01162	PROKKA_01306	PROKKA_02995
14904_ripA_1	PROKKA_01442	PROKKA_01770	PROKKA_04871	PROKKA_00104	PROKKA_04494	PROKKA_03637	PROKKA_02887	PROKKA_00453	PROKKA_00457	PROKKA_00444	PROKKA_01165	PROKKA_01309	PROKKA_02991
14905_yeaN	PROKKA_01443	PROKKA_01772	PROKKA_04870	PROKKA_00105	PROKKA_04493	PROKKA_03638	PROKKA_02886	PROKKA_00454	PROKKA_00458	PROKKA_00445	PROKKA_01166	PROKKA_01310	PROKKA_02990
14906_hypothetical_protein	PROKKA_01444	PROKKA_01773	PROKKA_04869	PROKKA_00106	PROKKA_04492	PROKKA_03639	PROKKA_02885	PROKKA_00455	PROKKA_00459	PROKKA_00446	PROKKA_01167	PROKKA_01311	PROKKA_02989
14907_hypothetical_protein	PROKKA_01445	PROKKA_01774	PROKKA_04868	PROKKA_00107	PROKKA_04491	PROKKA_03640	PROKKA_02884	PROKKA_00456	PROKKA_00460	PROKKA_00447	PROKKA_01168	PROKKA_01312	PROKKA_02988
14908_yeaP	PROKKA_01446	PROKKA_01775	PROKKA_04867	PROKKA_00108	PROKKA_04490	PROKKA_03641	PROKKA_02883	PROKKA_00457	PROKKA_00461	PROKKA_00448	PROKKA_01169	PROKKA_01313	PROKKA_02987
14909_hypothetical_protein	PROKKA_01447	PROKKA_01776	PROKKA_04866	PROKKA_00109	PROKKA_04489	PROKKA_03642	PROKKA_02882	PROKKA_00458	PROKKA_00462	PROKKA_00449	PROKKA_01170	PROKKA_01314	PROKKA_02986
14911_hypothetical_protein	PROKKA_01448	PROKKA_01779	PROKKA_04865	PROKKA_00111	PROKKA_04488	PROKKA_03643	PROKKA_02881	PROKKA_00459	PROKKA_00463	PROKKA_00450	PROKKA_01171	PROKKA_01316	PROKKA_02985
14913_leuE	PROKKA_01450	PROKKA_01781	PROKKA_04862	PROKKA_00113	PROKKA_04486	PROKKA_03645	PROKKA_02879	PROKKA_00461	PROKKA_00465	PROKKA_00452	PROKKA_01173	PROKKA_01318	PROKKA_02983
14925_yabJ	PROKKA_01463	PROKKA_01793	PROKKA_04854	PROKKA_00126	PROKKA_04479	PROKKA_03653	PROKKA_02872	PROKKA_00468	PROKKA_00473	PROKKA_00459	PROKKA_01180	PROKKA_01337	PROKKA_02974
14927_hypothetical_protein	PROKKA_01465	PROKKA_01795	PROKKA_04852	PROKKA_00128	PROKKA_04477	PROKKA_03655	PROKKA_02870	PROKKA_00470	PROKKA_00475	PROKKA_00461	PROKKA_01182	PROKKA_01339	PROKKA_02972
14928_pabB	PROKKA_01466	PROKKA_01796	PROKKA_04851	PROKKA_00129	PROKKA_04476	PROKKA_03656	PROKKA_02869	PROKKA_00471	PROKKA_00476	PROKKA_00462	PROKKA_01183	PROKKA_01340	PROKKA_02971
14929_putative_NUDIX_hydrolase	PROKKA_01467	PROKKA_01797	PROKKA_04850	PROKKA_00130	PROKKA_04475	PROKKA_03657	PROKKA_02868	PROKKA_00472	PROKKA_00477	PROKKA_00463	PROKKA_01184	PROKKA_01341	PROKKA_02970
14930_sdaA	PROKKA_02964	PROKKA_03123	PROKKA_04849	PROKKA_01525	PROKKA_04474	PROKKA_05200	PROKKA_02867	PROKKA_02096	PROKKA_02089	PROKKA_01976	PROKKA_02588	PROKKA_02871	PROKKA_02969
14932_corC_1	PROKKA_01470	PROKKA_01800	PROKKA_04846	PROKKA_00133	PROKKA_04472	PROKKA_03660	PROKKA_02865	PROKKA_00475	PROKKA_00480	PROKKA_00466	PROKKA_01187	PROKKA_01344	PROKKA_02967
14935_manX_1	PROKKA_01473	PROKKA_01803	PROKKA_04843	PROKKA_00136	PROKKA_04471	PROKKA_03663	PROKKA_02863	PROKKA_00477	PROKKA_00481	PROKKA_00468	PROKKA_01188	PROKKA_01347	PROKKA_02966
14936_manY	PROKKA_01474	PROKKA_01804	PROKKA_04842	PROKKA_00137	PROKKA_04470	PROKKA_03664	PROKKA_02862	PROKKA_00478	PROKKA_00482	PROKKA_00469	PROKKA_01189	PROKKA_01348	PROKKA_02965
14937_manZ_1	PROKKA_01475	PROKKA_01805	PROKKA_04841	PROKKA_00138	PROKKA_04469	PROKKA_03665	PROKKA_02861	PROKKA_00479	PROKKA_00483	PROKKA_00470	PROKKA_01190	PROKKA_01349	PROKKA_02964
14939_mntP	PROKKA_01477	PROKKA_01807	PROKKA_04839	PROKKA_00140	PROKKA_04467	PROKKA_03667	PROKKA_02858	PROKKA_00481	PROKKA_00485	PROKKA_00472	PROKKA_01192	PROKKA_01351	PROKKA_02962
14940_rlmA	PROKKA_01478	PROKKA_01808	PROKKA_04838	PROKKA_00141	PROKKA_04466	PROKKA_03668	PROKKA_02857	PROKKA_00482	PROKKA_00486	PROKKA_00473	PROKKA_01193	PROKKA_01352	PROKKA_02961
14941_cspC	PROKKA_01480	PROKKA_01810	PROKKA_04837	PROKKA_00143	PROKKA_04465	PROKKA_03670	PROKKA_02856	PROKKA_00484	PROKKA_00488	PROKKA_00475	PROKKA_01195	PROKKA_01354	PROKKA_02960
14942_hypothetical_protein	PROKKA_01481	PROKKA_01811	PROKKA_04835	PROKKA_00144	PROKKA_04463	PROKKA_03671	PROKKA_02854	PROKKA_00485	PROKKA_00489	PROKKA_00476	PROKKA_01196	PROKKA_01355	PROKKA_02958
14943_hypothetical_protein	PROKKA_01482	PROKKA_01812	PROKKA_04834	PROKKA_00145	PROKKA_04462	PROKKA_03672	PROKKA_02853	PROKKA_00486	PROKKA_00490	PROKKA_00477	PROKKA_01197	PROKKA_01356	PROKKA_02957
14944_kdgR_1	PROKKA_01483	PROKKA_01813	PROKKA_04833	PROKKA_00146	PROKKA_04458	PROKKA_03673	PROKKA_02852	PROKKA_00487	PROKKA_00491	PROKKA_00478	PROKKA_01198	PROKKA_01357	PROKKA_02956
14946_htpX	PROKKA_01485	PROKKA_01815	PROKKA_04831	PROKKA_00148	PROKKA_04456	PROKKA_03675	PROKKA_02850	PROKKA_00489	PROKKA_00493	PROKKA_00481	PROKKA_01200	PROKKA_01359	PROKKA_02954
14947_prc	PROKKA_01486	PROKKA_01816	PROKKA_04830	PROKKA_00149	PROKKA_04453	PROKKA_03676	PROKKA_02849	PROKKA_00490	PROKKA_00494	PROKKA_00482	PROKKA_01201	PROKKA_01360	PROKKA_02953
14948_proQ	PROKKA_01487	PROKKA_01817	PROKKA_04829	PROKKA_00150	PROKKA_04452	PROKKA_03677	PROKKA_02848	PROKKA_00491	PROKKA_00495	PROKKA_00483	PROKKA_01202	PROKKA_01361	PROKKA_02952
14950_yebS	PROKKA_01489	PROKKA_01819	PROKKA_04827	PROKKA_00152	PROKKA_04450	PROKKA_03679	PROKKA_02845	PROKKA_00493	PROKKA_00497	PROKKA_00485	PROKKA_01204	PROKKA_01363	PROKKA_02950
14953_hypothetical_protein	PROKKA_01492	PROKKA_01822	PROKKA_04824	PROKKA_00155	PROKKA_04446	PROKKA_03682	PROKKA_02842	PROKKA_00496	PROKKA_00500	PROKKA_00491	PROKKA_01207	PROKKA_01367	PROKKA_02946
14955_pphA	PROKKA_01494	PROKKA_01824	PROKKA_04822	PROKKA_00157	PROKKA_04444	PROKKA_03684	PROKKA_02840	PROKKA_00498	PROKKA_00502	PROKKA_00493	PROKKA_01209	PROKKA_01369	PROKKA_02944
14956_hypothetical_protein	PROKKA_01497	PROKKA_01827	PROKKA_04819	PROKKA_00160	PROKKA_04441	PROKKA_03687	PROKKA_02837	PROKKA_00501	PROKKA_00505	PROKKA_00496	PROKKA_01212	PROKKA_01372	PROKKA_02941
14958_pcoC	PROKKA_01499	PROKKA_01829	PROKKA_04816	PROKKA_00162	PROKKA_04438	PROKKA_03689	PROKKA_02835	PROKKA_00504	PROKKA_00507	PROKKA_00498	PROKKA_01214	PROKKA_01375	PROKKA_02938
14959_holE	PROKKA_01500	PROKKA_01830	PROKKA_04815	PROKKA_00163	PROKKA_04437	PROKKA_03690	PROKKA_02834	PROKKA_00505	PROKKA_00508	PROKKA_00499	PROKKA_01215	PROKKA_01376	PROKKA_02937
14960_Carbon-nitrogen_hydrolase	PROKKA_01501	PROKKA_01831	PROKKA_04814	PROKKA_00164	PROKKA_04436	PROKKA_03691	PROKKA_02833	PROKKA_00506	PROKKA_00509	PROKKA_00500	PROKKA_01216	PROKKA_01377	PROKKA_02936
14961_exoX	PROKKA_01502	PROKKA_01832	PROKKA_04813	PROKKA_00165	PROKKA_04435	PROKKA_03692	PROKKA_02832	PROKKA_00507	PROKKA_00510	PROKKA_00501	PROKKA_01217	PROKKA_01378	PROKKA_02935
14963_ptrB_2	PROKKA_01503	PROKKA_01833	PROKKA_04811	PROKKA_00167	PROKKA_04433	PROKKA_03693	PROKKA_02831	PROKKA_00509	PROKKA_00511	PROKKA_00502	PROKKA_01218	PROKKA_01379	PROKKA_02933
14964_yebE	PROKKA_01506	PROKKA_01834	PROKKA_04810	PROKKA_00168	PROKKA_04432	PROKKA_03694	PROKKA_02830	PROKKA_00510	PROKKA_00512	PROKKA_00503	PROKKA_01219	PROKKA_01380	PROKKA_02932
14967_yebF	PROKKA_01507	PROKKA_01837	PROKKA_04809	PROKKA_00171	PROKKA_04431	PROKKA_03696	PROKKA_02828	PROKKA_00511	PROKKA_00513	PROKKA_00504	PROKKA_01220	PROKKA_01382	PROKKA_02930
14968_DNA_damage-inducible_protein_YebG	PROKKA_01508	PROKKA_01838	PROKKA_04808	PROKKA_00172	PROKKA_04430	PROKKA_03697	PROKKA_02827	PROKKA_00512	PROKKA_00514	PROKKA_00505	PROKKA_01221	PROKKA_01383	PROKKA_02929
14969_purT	PROKKA_01509	PROKKA_01839	PROKKA_04807	PROKKA_00173	PROKKA_04429	PROKKA_03698	PROKKA_02826	PROKKA_00513	PROKKA_00515	PROKKA_00506	PROKKA_01222	PROKKA_01384	PROKKA_02928
14971_edd	PROKKA_01511	PROKKA_01841	PROKKA_04805	PROKKA_00175	PROKKA_04427	PROKKA_03700	PROKKA_02824	PROKKA_00515	PROKKA_00517	PROKKA_00508	PROKKA_01224	PROKKA_01387	PROKKA_02926
14972_zwf	PROKKA_01512	PROKKA_01842	PROKKA_04804	PROKKA_00176	PROKKA_04426	PROKKA_03701	PROKKA_02823	PROKKA_00516	PROKKA_00518	PROKKA_00509	PROKKA_01225	PROKKA_01388	PROKKA_02925
14973_hypothetical_protein	PROKKA_01513	PROKKA_01843	PROKKA_04803	PROKKA_00177	PROKKA_04425	PROKKA_03702	PROKKA_02822	PROKKA_00517	PROKKA_00519	PROKKA_00510	PROKKA_01226	PROKKA_01389	PROKKA_02924
14974_ybbH	PROKKA_01514	PROKKA_01844	PROKKA_04802	PROKKA_00178	PROKKA_04424	PROKKA_03703	PROKKA_02821	PROKKA_00518	PROKKA_00520	PROKKA_00511	PROKKA_01227	PROKKA_01390	PROKKA_02923
