"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86"
"14974_ybbH",2411,140,2845,274,1867,71,2250,31,3800,571,2110,51,1907,136,3049,230,1957,447,2061,6,2438,4,1363,33,2129,212
"14975_pykA",12788,431,10896,849,13035,279,7274,58,9081,1416,10101,119,14963,501,9261,625,7607,1826,9479,35,6426,5,9750,89,4495,634
"14976_msbB",1135,582,2128,897,1517,178,2561,111,1676,1380,1170,194,1405,255,1018,839,807,1299,1286,44,748,6,1718,101,737,584
"14978_znuA",1095,788,1511,855,1231,287,1630,54,1391,1358,882,186,1157,232,977,1018,722,1131,1179,43,694,8,1535,91,639,320
"14979_znuC",1000,364,1958,527,1562,124,1256,49,1702,984,1168,109,955,158,946,356,856,543,925,8,844,1,499,49,828,225
"14980_znuB",330,93,505,85,751,43,483,4,472,157,388,26,462,78,415,191,428,258,307,6,363,0,252,13,508,164
"14981_ruvB",1545,281,2960,602,1983,92,3461,33,2632,942,1110,69,1806,163,1486,484,1173,1085,1139,23,1435,3,1908,85,1280,468
"14982_ruvA",1656,508,2454,731,3031,160,3049,63,2598,838,1644,130,2275,224,2124,748,1692,1818,1718,34,1940,4,2622,106,2011,697
"14983_hypothetical_protein",72,1,430,16,28,1,178,1,343,41,21,0,20,1,34,4,36,11,24,2,25,0,81,2,21,3
"14984_ruvC",1337,676,635,522,484,60,400,29,453,727,628,73,1073,149,660,428,749,1073,800,27,1310,11,448,47,405,410
"14985_yebC",4123,4059,4503,5377,5064,927,4483,379,4309,11722,6385,1044,9011,1752,6601,3619,8062,10972,6408,161,8356,40,5385,407,4851,4575
"14986_nudB",1505,664,1439,1930,1027,207,1762,123,1473,2589,1424,224,1593,269,1230,626,1572,2232,1113,21,1555,7,992,93,931,666
"14987_aspS",8580,2577,10232,6338,11070,871,9979,432,10314,7526,9690,898,9824,1424,7210,3516,8850,12234,6857,139,11671,38,5851,361,7597,4739
"15003_yecN",1942,143,2812,300,2103,76,2937,18,2017,368,1645,132,2191,101,1507,292,1137,680,2010,11,1254,4,1734,56,1162,367
"15004_cmoA",853,280,2018,710,1906,114,2651,62,1643,996,1739,232,1602,258,894,434,906,1597,1652,43,730,3,1143,39,1192,1102
"15006_torZ",6259,1304,5964,2813,3836,424,5118,262,8497,8414,3811,1293,14186,848,5653,1552,3418,2324,15255,80,1748,19,5615,79,5303,1228
"15009_hypothetical_protein",553,114,1318,338,742,26,1117,13,1197,570,956,37,888,115,0,0,684,474,756,8,466,5,1323,19,737,306
"15010_argS",2947,2706,5202,5576,6842,716,4269,298,5675,9087,3873,789,3922,957,0,0,2324,9085,2033,140,1600,26,2423,273,2068,3198
"15012_flhE",34,3,63,11,30,1,38,12,21,199,38,4,35,4,0,0,25,8,47,0,33,2,37,0,26,12
"15013_flhA_1",364,9,1195,136,366,14,642,128,568,1668,396,35,544,52,27,1,226,96,415,3,358,4,202,10,301,51
"15014_flhB_1",44,4,293,45,34,1,51,45,31,565,50,13,206,15,13,1,21,5,21,1,29,0,38,3,13,17
"15015_chemotaxis_regulator_CheZ",202,7,1204,29,194,3,1759,16,174,90,201,5,440,39,71,13,154,37,138,2,125,0,59,0,70,17
"15016_cheY",318,16,2175,44,192,7,3286,60,334,150,461,15,951,42,200,21,255,32,261,1,249,0,166,2,180,32
"15017_cheB",165,21,1717,45,188,7,3263,38,179,149,411,11,1030,101,171,22,202,56,190,4,219,0,66,1,159,39
"15018_cheR",92,9,529,8,56,3,691,15,54,16,105,3,219,13,41,7,43,12,53,2,49,2,38,1,39,12
"15020_tar",515,43,3950,105,451,18,6133,186,493,179,941,43,2190,189,411,56,261,83,599,14,875,9,270,10,361,59
"15021_cheW",136,6,1618,15,88,0,1861,22,73,52,395,8,735,50,104,10,214,35,180,0,171,0,79,5,140,16
"15022_cheA",217,21,2776,45,108,5,5139,73,185,102,461,11,692,84,85,17,133,43,112,4,140,4,109,5,86,38
"15023_motB",56,2,1099,21,75,3,2933,49,110,102,254,9,434,60,46,17,76,43,60,4,88,1,64,1,77,27
"15024_motA",53,3,960,23,51,2,1885,35,50,43,240,10,419,56,29,2,79,51,43,1,54,1,42,3,57,16
"15025_flhC",626,13,4949,150,526,8,5811,52,968,420,1394,33,849,61,639,50,767,154,202,2,837,1,46,15,456,137
"15026_flhD",1445,28,7602,220,1162,15,8716,61,1339,796,2477,75,1573,114,1077,106,1309,350,427,5,1234,2,87,19,808,264
"15027_uspC",2789,18,2782,37,2851,31,4611,26,3268,281,2866,12,913,41,3214,48,2387,71,5906,4,2580,1,3263,5,3654,95
"15028_otsA",691,26,3854,121,894,19,4244,9,1615,97,1271,4,2038,21,1080,40,1083,73,2624,4,939,1,561,3,146,31
"15029_otsB",426,10,1495,30,408,10,1924,12,735,46,603,3,1265,11,671,13,788,82,1828,6,656,3,391,0,74,6
"15030_rbsC_1",2692,12,2026,26,1574,11,3162,0,1377,23,217,3,250,7,223,11,649,22,405,6,990,0,198,3,181,18
"15031_araG",4356,10,2538,18,3135,35,3439,3,1801,31,462,11,268,20,356,18,867,64,721,3,1966,2,248,6,297,18
"15032_araF",6437,5,2276,10,2275,22,566,0,1904,31,252,8,142,13,301,18,857,48,437,3,2752,0,148,1,231,11
"15034_hypothetical_protein",1221,662,1497,1182,2757,205,0,0,975,1877,1079,290,3415,786,960,1104,764,1843,790,53,760,10,4249,290,573,1554
"15036_ftnA_2",2230,1897,5722,9667,21936,1198,0,0,3153,2954,5225,535,8276,899,10180,2421,9604,6868,2984,89,19257,39,7243,496,2807,4655
"15037_hypothetical_protein",269,6,232,11,187,2,0,0,333,81,129,5,219,2,98,4,104,21,174,2,135,0,199,2,95,9
"15038_tyrP",218,225,265,147,767,133,347,22,190,398,273,74,338,88,263,527,196,619,178,18,259,7,790,42,167,350
"15039_hypothetical_protein",2564,194,4151,268,2142,39,4153,28,4115,526,1932,77,2732,186,2003,348,1992,822,2824,9,1677,6,2242,30,2074,431
"15040_pgsA",2608,230,3544,429,2636,106,4022,45,2415,799,1955,81,2107,238,2010,467,2193,842,1826,19,2000,4,2077,34,2339,482
"15041_uvrC",1342,456,3199,917,2561,189,2922,39,3405,1291,1996,141,1367,286,1762,1206,1320,1380,1082,43,2090,7,1586,77,1424,584
"15042_uvrY",3465,778,8319,1675,6838,255,6947,114,6414,3372,5153,373,4207,619,4409,1806,4249,3352,4495,57,5164,15,4750,201,4471,1543
"15043_hypothetical_protein",848,629,1476,1074,2819,191,2326,105,889,2711,1963,283,2720,409,1158,805,1702,2538,1449,47,1639,15,2268,226,1212,1155
"15044_sdiA",705,62,1960,323,1045,24,2824,34,1453,468,691,52,1114,89,1399,288,595,519,1113,13,718,6,949,54,668,324
"15045_artM_1",507,85,552,124,407,30,517,7,555,238,574,35,751,40,474,119,398,235,567,12,379,1,540,15,275,87
"15046_yecS",332,105,1014,336,545,53,1038,29,499,188,560,27,715,36,428,124,639,311,702,6,441,2,637,16,352,122
"15047_dcyD",2390,436,2702,630,2279,202,2874,74,2303,1010,2439,131,3386,267,1955,573,2464,1326,3088,30,1889,1,2577,51,1575,602
"15049_fliZ",127,3,1544,48,82,0,1760,102,71,1016,135,22,847,50,363,23,41,11,90,1,111,1,72,2,51,28
"15053_fliS_1",39,2,1943,22,48,1,1430,30,127,331,155,8,363,28,26,7,35,7,52,1,61,3,46,0,38,14
"15054_fliT",28,2,936,10,47,4,777,17,44,128,77,5,189,16,9,9,25,4,30,0,54,1,15,1,30,21
"15055_Glucan_1-4-alpha-maltohexaosidase_precursor",1900,26,6299,91,1987,19,9838,65,2503,736,3361,26,4901,117,3634,162,3190,169,6124,7,2590,3,672,13,557,82
"15056_lipoprotein",991,87,904,185,651,29,1034,21,692,257,775,45,861,70,678,139,738,552,677,9,485,4,892,20,532,219
"15057_putative_inner_membrane_protein",454,94,484,204,582,45,394,12,480,222,402,50,479,108,276,160,790,1292,249,19,283,5,285,51,279,258
"15058_tusA_1",28,7,66,14,19,4,49,0,25,11,28,4,52,6,21,6,67,32,35,2,28,0,29,2,36,13
"15086_yedA",102,5,139,6,293,5,363,0,99,62,466,2,158,5,175,20,168,9,205,0,236,1,113,0,3,0
"15087_vsr",135,57,327,111,274,21,408,5,302,169,263,31,145,19,150,102,117,164,126,6,98,2,285,13,121,79
"15088_dcm",1146,732,2310,1487,2247,273,2161,139,1833,2347,1189,371,10663,980,1090,1146,1005,2977,725,39,892,16,2482,197,1202,961
"15092_hchA",6069,73,10966,392,4989,79,15509,33,5516,129,5644,40,12763,253,5300,231,7604,888,8867,17,5598,2,20566,50,2014,199
"15093_yedV",551,126,1768,158,1506,98,2010,27,1537,405,935,64,816,119,739,257,1369,640,624,14,1259,8,2675,25,459,98
"15095_hiuH",344,161,378,43,430,798,221,18,946,183,695,97,473,1249,397,168,498,337,1840,9,373,4,358,89,243,45
"15096_yedY",384,60,526,26,285,266,615,4,536,71,447,39,403,418,274,57,464,238,943,4,321,1,379,33,158,22
"15097_yedZ",203,41,296,10,190,102,273,2,269,23,269,12,187,139,209,36,256,57,535,2,197,1,252,6,119,6
"15098_zinT",160,137,212,54,273,44,421,17,303,333,223,33,231,150,223,205,130,203,231,4,126,0,81,27,126,43
"15100_mtfA",5586,83,7264,243,4167,110,6743,21,4801,416,4880,53,4973,191,4881,192,4757,401,5209,14,4592,3,6726,38,4123,326
"15103_yhjE_1",2955,91,5074,398,6352,66,8359,84,5258,316,7779,68,3809,547,5904,210,7222,1151,5002,9,4488,8,3367,28,6490,792
"15105_amn_2",9596,343,3678,210,3124,47,14386,112,4156,464,3128,27,4973,123,9802,766,9943,1498,4294,3,6304,4,3018,12,8125,868
"15106_yeeN",3533,2643,7943,4072,9496,976,9498,411,9271,8773,6541,1213,7392,1831,6216,3892,6295,12388,5582,236,4329,45,7745,681,4361,4548
"15129_hypothetical_protein",3076,850,5963,3315,6792,427,5581,625,3866,3402,4355,629,4093,1025,5166,2044,4723,8080,5267,85,2858,22,5679,269,3809,2957
"15133_sbcB",2340,427,3344,732,3056,175,4316,79,3836,1104,2535,122,2786,277,2759,596,2215,1330,2851,36,2383,7,3316,52,2320,483
"15136_plaP",3439,2507,6160,13627,6904,572,4271,543,3477,20030,3987,2898,4594,3116,1829,5088,1132,16023,775,244,1435,49,2355,780,1559,10690
"15138_NAD_dependent_epimerase-dehydratase_family_protein",4854,299,4607,526,4190,156,5826,55,5190,1166,2580,104,4119,229,3103,590,3342,1187,3898,25,2272,7,4439,59,2437,563
"15139_yoeB",543,88,572,132,1063,57,1200,34,731,316,682,46,694,65,876,186,834,489,751,7,831,5,2677,35,665,226
"15141_hisG",1915,513,2346,290,2411,207,1205,22,2191,533,2163,92,1534,156,2171,333,1635,873,1695,11,1526,3,12166,36,2358,1326
"15142_hisD",1324,320,990,211,934,92,613,20,1055,197,1173,63,924,85,1439,237,939,573,1017,6,913,1,5676,27,1329,735
"15145_hisH",865,162,769,105,659,30,568,15,813,145,959,19,742,63,1513,215,695,301,624,5,613,0,2646,3,1228,417
"15146_hisA",671,100,771,91,806,26,497,12,815,168,761,13,749,65,686,91,1087,404,776,3,929,2,3145,13,794,319
"15147_hisF",1261,188,1164,211,1154,49,653,20,1510,406,1211,37,1938,180,1756,251,1958,793,2345,14,1234,0,3470,12,1540,576
"15151_gnd",10185,4583,11161,6421,11377,1192,22145,636,17331,12153,11597,1350,13587,1271,5615,3829,9611,10883,17650,250,6061,26,22292,580,8251,5233
"15158_galF",4949,817,12537,2298,9834,168,19387,448,3926,566,4220,345,2374,423,3205,1720,5180,5875,5454,82,3186,15,7196,308,3004,1416
"15164_algC",31,18,13,4,32,2,10,1,1183,2364,3071,452,20,3,2878,1636,20,14,20,0,1683,14,82,0,2239,1381
"15165_manC1",52,23,60,8,56,1,62,0,549,292,10941,1676,4340,1961,6782,2707,40,23,48,0,5693,39,149,0,10121,6636
"15166_kanE",25,24,37,2,12,1,27,0,1967,7975,29,2,14,4,10,2,25,11,13,1,15,0,49,0,32,2
"15168_fcl",15,28,40,5,14,3,38,5,3741,8069,29,4,23,2,21,1,17,5,31,0,24,1,91,1,81,6
"15169_gmd",45,119,35,17,34,1,37,3,7624,24988,34,8,44,4,48,14,32,31,22,2,30,1,288,0,35,3
"15176_wzc",29,37,7953,7072,25,4,4939,484,10676,22346,57,1,41,5,36,6,16,17,39,1,13,4,245,0,15,5
