,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,HM01_UR_count,HM01_UR_tpm,HM01_UTI_count,HM01_UTI_tpm,HM03_UR_count,HM03_UR_tpm,HM03_UTI_count,HM03_UTI_tpm,HM06_UR_count,HM06_UR_tpm,HM06_UTI_count,HM06_UTI_tpm,HM07_UR_count,HM07_UR_tpm,HM07_UTI_count,HM07_UTI_tpm,HM14_UR_count,HM14_UR_tpm,HM14_UTI_count,HM14_UTI_tpm,HM17_UR_count,HM17_UR_tpm,HM17_UTI_count,HM17_UTI_tpm,HM43_UR_count,HM43_UR_tpm,HM43_UTI_count,HM43_UTI_tpm,HM54_UR_count,HM54_UR_tpm,HM54_UTI_count,HM54_UTI_tpm,HM56_UR_count,HM56_UR_tpm,HM56_UTI_count,HM56_UTI_tpm,HM57_UR_count,HM57_UR_tpm,HM57_UTI_count,HM57_UTI_tpm,HM60_UR_count,HM60_UR_tpm,HM60_UTI_count,HM60_UTI_tpm,HM66_UR_count,HM66_UR_tpm,HM66_UTI_count,HM66_UTI_tpm,HM68_UR_count,HM68_UR_tpm,HM68_UTI_count,HM68_UTI_tpm,HM86_UR_count,HM86_UR_tpm,HM86_UTI_count,HM86_UTI_tpm
b0484,PROKKA_04977,PROKKA_03462,PROKKA_04176,PROKKA_04941,PROKKA_00318,PROKKA_01236,PROKKA_01026,PROKKA_02248,PROKKA_04169,PROKKA_04206,PROKKA_00211,PROKKA_04011,PROKKA_04721,PROKKA_04405,1531.0,34.18381340963468,567.0,49.94476694950983,2142.0,35.57778677218677,829.0,33.61428650019847,1574.0,25.868744921950853,682.0,50.96638939736647,1824.0,28.288072726531897,100.0,16.640114338576158,1595.0,26.564324130119005,558.0,13.642890520933847,1457.0,39.94615125812943,43.0,10.039950132733182,1806.0,39.01442350469319,249.0,10.56214885676675,1018.0,19.574325759123106,783.0,43.28164408923767,1541.0,36.33396447919688,599.0,13.850438023850948,3911.0,84.19661608363373,55.0,22.064132955975868,955.0,18.484779719226854,32.0,13.278740999154069,1317.0,31.466111700634823,2.0,10.52081634302336,2648.0,65.25214564920374,116.0,16.90958602973697,853.0,23.27639731855986,185.0,9.653700574202805
b1743,PROKKA_01396,PROKKA_00066,PROKKA_00409,PROKKA_01259,PROKKA_01731,PROKKA_04920,PROKKA_04545,PROKKA_03584,PROKKA_02934,PROKKA_00404,PROKKA_01915,PROKKA_00395,PROKKA_01118,PROKKA_03052,981.0,113.08549721016308,2668.0,1213.3479012568073,1111.0,95.2721807773488,119.0,24.912018291030407,817.0,69.324264873118,679.0,261.9762091956128,1098.0,87.91711978855238,158.0,135.73941682473327,957.0,82.28915582080576,332.0,41.90857218707052,799.0,85.59130447493447,139.0,126.80762717394312,878.0,97.92521862765587,1133.0,248.12780437552843,744.0,73.8591924846133,466.0,132.9904605562645,936.0,113.94062129201255,404.0,48.22926427873259,1963.0,218.18239607552647,25.0,51.77937106069688,612.0,61.15823114626167,27.0,57.844659888583,807.0,99.54591106717142,4.0,108.63556339352782,16217.0,2063.1932998776083,91.0,68.48712959616041,520.0,73.25928238853874,120.0,32.32927220436287
b3572,PROKKA_03463,PROKKA_01990,PROKKA_02573,PROKKA_03374,PROKKA_03669,PROKKA_02815,PROKKA_02530,PROKKA_00613,PROKKA_00917,PROKKA_02587,PROKKA_04437,PROKKA_02475,PROKKA_03072,PROKKA_00895,7613.0,339.6912826354944,2453.0,431.80506660019853,13700.0,454.7401305634032,5664.0,458.9610865096352,14267.0,468.58301805724096,5308.0,792.7087666231403,14928.0,462.66154717835843,1835.0,610.2048121904492,14662.0,487.99407839797425,12337.0,602.7885765965685,15980.0,662.5982868370826,1408.0,497.19173232898476,11782.0,546.5907030318546,4628.0,421.5820013240881,12111.0,465.37418785008305,7602.0,839.7559819645394,11582.0,545.7289119489152,9186.0,424.4693932724872,11612.0,499.57086461308813,794.0,636.5432722031528,8745.0,387.42507365848525,473.0,449.24687527051196,10061.0,480.37644914134574,55.0,578.183091285386,13761.0,677.657211755788,2555.0,744.3019287101907,16125.0,879.3255806523816,5727.0,597.2175101654516
b3148,PROKKA_02997,PROKKA_01561,PROKKA_02120,PROKKA_02911,PROKKA_03087,PROKKA_03285,PROKKA_02998,PROKKA_00149,PROKKA_01373,PROKKA_02126,PROKKA_04929,PROKKA_02007,PROKKA_02620,PROKKA_01362,565.0,79.97071800414183,74.0,41.32148119874254,492.0,51.80382088685291,169.0,43.440348457064296,545.0,56.78117321037732,88.0,41.68880001666171,522.0,51.319953925129255,33.0,34.81027665886646,478.0,50.46650263597318,188.0,29.138505505696884,450.0,59.18886646806752,29.0,32.48427786543137,474.0,64.91170528621379,108.0,29.04115743615623,371.0,45.22204232924627,86.0,30.135449067212434,388.0,57.993471044928384,224.0,32.833859325990154,384.0,52.40530761506354,23.0,58.49102624628594,265.0,32.51576759358518,13.0,34.196960206049305,388.0,58.7660174254398,1.0,33.34699256067151,468.0,73.10715746895069,22.0,20.329883788872767,300.0,51.894963912036935,117.0,38.70304960414707
b2922,PROKKA_02715,PROKKA_01319,PROKKA_01769,PROKKA_02565,PROKKA_02976,PROKKA_03629,PROKKA_03278,PROKKA_05059,PROKKA_01640,PROKKA_01767,PROKKA_05332,PROKKA_01721,PROKKA_02347,PROKKA_01742,4414.0,333.4880314799364,147.0,43.81540916371413,6473.0,363.8041704494522,464.0,63.66341808100707,3349.0,186.24661266355986,177.0,44.75848361739716,6820.0,357.9031373068906,102.0,57.432680040365675,6373.0,359.1572243953622,872.0,72.14251607520295,3123.0,219.2627562823155,69.0,41.25624385938174,4851.0,340.78645275262244,676.0,93.2487957984901,4937.0,321.2216182592631,425.0,79.49384839972168,3061.0,244.21710738739097,1209.0,94.59443587369226,3404.0,247.96990608481892,45.0,61.085663427011326,3069.0,201.00663867496993,31.0,43.52825132256484,1717.0,138.81302071675486,4.0,71.2003354673797,3986.0,332.3660955767464,130.0,64.12404991146293,1479.0,136.56440266770963,340.0,60.03487597409277
b2785,PROKKA_02556,PROKKA_01144,PROKKA_01605,PROKKA_02392,PROKKA_02820,PROKKA_03787,PROKKA_03438,PROKKA_05214,PROKKA_01793,PROKKA_01620,PROKKA_05526,PROKKA_01566,PROKKA_02196,PROKKA_01900,2271.0,97.59318255123753,394.0,66.79749588632758,3586.0,114.63751799991338,607.0,47.37127629546694,539.0,28.92000450308095,123.0,30.008450112740146,375.0,18.98666790340974,72.0,39.11359757331446,3222.0,103.28105068803963,1224.0,57.59842936650339,392.0,26.553104690469578,90.0,51.91818001690803,2851.0,118.5391184800125,752.0,61.394265129642775,2408.0,89.11535555665431,500.0,53.19478031902523,2031.0,92.16734981504825,1193.0,53.09262002952046,2558.0,105.9898773125968,79.0,60.996974702247535,2351.0,87.58315083301645,93.0,74.27572477793538,1966.0,90.40612326773574,10.0,101.24567303201573,2674.0,126.82218959352404,239.0,67.05480676013325,1875.0,98.4747825963422,590.0,59.255836800399926
b0221,PROKKA_04685,PROKKA_03167,PROKKA_03906,PROKKA_04628,PROKKA_00074,PROKKA_01522,PROKKA_01290,PROKKA_01983,PROKKA_04461,PROKKA_03992,PROKKA_03143,PROKKA_03731,PROKKA_04438,PROKKA_04639,1076.0,24.614482689136018,19.0,1.7147217476697636,678.0,11.537780653889465,61.0,2.5341500403668547,602.0,10.13678522027029,63.0,4.823620873077976,658.0,10.455325125477628,19.0,3.2392392789365765,667.0,11.381435465718003,48.0,1.2023933218738312,280.0,5.952253711009518,5.0,0.9051928549047205,648.0,14.342193475677353,147.0,6.388566127668711,955.0,18.813756906897716,30.0,1.6990116823662476,267.0,6.449923042917404,53.0,1.2555837272577228,656.0,14.469175477801999,18.0,7.3982636556445796,539.0,10.688894635321393,13.0,5.5269227828925835,302.0,7.392602775027328,5.0,26.947753808234957,404.0,10.199791735643501,18.0,2.68831784219025,212.0,5.92701074467263,37.0,1.9781396266615239
b4014,PROKKA_03989,PROKKA_02471,PROKKA_03157,PROKKA_03912,PROKKA_04184,PROKKA_02301,PROKKA_02031,PROKKA_01172,PROKKA_00418,PROKKA_03093,PROKKA_04040,PROKKA_02968,PROKKA_03647,PROKKA_00393,1129.0,39.42595783336419,17.0,2.342064471947906,964.0,25.042604110865483,58.0,3.67824245627305,2146.0,55.16242382368879,109.0,12.739986973463814,1498.0,36.33568332177235,25.0,6.506378248562571,2202.0,57.358579924867975,159.0,6.0801222583135965,1385.0,44.94517193839689,6.0,1.6581821392033507,1805.0,60.985648574649126,98.0,6.501626323557081,2336.0,70.25138078802185,31.0,2.680073310489202,1837.0,67.74266806870982,130.0,4.70135483511866,2052.0,69.091905505533,18.0,11.29378911579972,1151.0,34.84409781053242,18.0,11.682140348100253,3120.0,143.80418700282752,3.0,30.443903069642325,532.0,20.5036623351395,12.0,2.735893735712251,448.0,19.119993366383625,67.0,5.468143349368996
b3728,PROKKA_03635,PROKKA_02155,PROKKA_02832,PROKKA_03575,PROKKA_03856,PROKKA_02637,PROKKA_02370,PROKKA_00781,PROKKA_00756,PROKKA_02763,PROKKA_04134,PROKKA_02632,PROKKA_03276,PROKKA_00723,1703.0,91.55054874168847,1426.0,302.4317920324287,2436.0,97.4176683351853,358.0,34.95049883542024,4452.0,176.16789756065089,723.0,130.08846102227199,3127.0,116.7635773834591,67.0,26.843064445713892,1383.0,55.45762269168934,244.0,14.363590224217807,1623.0,81.07926166598519,153.0,65.09241819619845,1952.0,101.52856467843696,1573.0,160.6507082941073,845.0,39.11980919148915,1062.0,141.34078185604812,555.0,31.506786998970128,761.0,42.3664746913462,1082.0,56.08349464543771,59.0,56.98718088084004,608.0,28.334494721608916,63.0,62.943147539019,434.0,24.965945596855533,12.0,151.98533147844515,7670.0,455.0647181661047,174.0,61.06962031508851,788.0,51.77187970275838,1257.0,157.92771757234618
b3178,PROKKA_03032,PROKKA_01594,PROKKA_02154,PROKKA_02944,PROKKA_03273,PROKKA_03252,PROKKA_02964,PROKKA_00182,PROKKA_01339,PROKKA_02158,PROKKA_04893,PROKKA_02040,PROKKA_02654,PROKKA_01326,13522.0,389.0879438297153,4625.0,525.0252532650317,19525.0,417.93816149722613,8089.0,422.69365245085913,23219.0,491.7854391486178,4900.0,471.9077365849947,23920.0,478.08071480310616,2649.0,568.0672972658372,20583.0,441.7822689148183,11500.0,362.352748162055,21770.0,582.1169338238495,1994.0,454.0719430519764,21784.0,606.4661982994,11929.0,652.1064552099823,21705.0,537.8489780284394,9509.0,677.3893412617062,13669.0,415.3444541954529,12773.0,380.61957678317435,18742.0,519.9771733359078,957.0,494.7634828814648,13570.0,338.4950167835298,764.0,408.5656063573997,16749.0,515.7125634901166,69.0,467.7675153067947,41784.0,1326.931038589811,2727.0,512.2968060506511,13193.0,463.9506815270952,6804.0,457.55986669267975
b1046,PROKKA_00539,PROKKA_04014,PROKKA_04830,PROKKA_00391,PROKKA_01013,PROKKA_00587,PROKKA_00500,PROKKA_02782,PROKKA_03651,PROKKA_04712,PROKKA_01020,PROKKA_04699,PROKKA_00407,PROKKA_03777,367.0,13.854493358912503,95.0,14.148480591846395,757.0,21.258597385970702,141.0,9.666466394113188,713.0,19.812506695952543,147.0,18.57360024681927,424.0,17.839267014899455,14.0,6.319998355938525,531.0,14.952433184891746,258.0,10.665253121401472,584.0,20.487189912002123,33.0,9.858962070732684,567.0,20.709507594690084,247.0,17.714510498778242,629.0,20.44885263092229,233.0,21.7759531970926,553.0,22.04522551581011,207.0,8.092566882263386,611.0,22.23961668347244,24.0,16.278511253113077,100.0,6.29440245011818,4.0,5.397721990565225,609.0,24.60106246437116,0.0,0.0,1292.0,53.82928308821179,60.0,14.787865870612134,439.0,20.25398653424885,130.0,11.469506034689843
b3094,PROKKA_02948,PROKKA_01509,PROKKA_02074,PROKKA_02852,PROKKA_03139,PROKKA_03333,PROKKA_03043,PROKKA_00102,PROKKA_01418,PROKKA_02081,PROKKA_04985,PROKKA_01961,PROKKA_02573,PROKKA_01409,7147.0,514.9223041291001,306.0,86.97630663994168,9893.0,530.224844976548,431.0,56.39222627854047,5884.0,312.0440441504179,539.0,129.97530997462746,7950.0,397.84898811418003,144.0,77.31992097611388,8100.0,435.3070546947013,594.0,46.863124772439534,3738.0,250.26618908581435,164.0,93.50922147718826,4607.0,321.14285465376605,685.0,93.75967894816691,3498.0,217.03583275468523,833.0,148.57973932855194,4267.0,324.64251539330763,866.0,64.61408240312875,4826.0,335.24842188629987,99.0,128.15394337522477,3378.0,210.98090769206692,139.0,186.12054917854252,3300.0,254.41566490215746,5.0,84.8715339011936,1474.0,117.20520611162648,225.0,105.83519340065997,3929.0,345.956394837222,723.0,121.73991564455395
b0122,PROKKA_04556,PROKKA_03052,PROKKA_03802,PROKKA_04489,PROKKA_04671,PROKKA_01719,PROKKA_01428,PROKKA_01846,PROKKA_04596,PROKKA_03796,PROKKA_03288,PROKKA_03544,PROKKA_04306,PROKKA_04769,567.0,102.92289310307795,117.0,83.78695391364893,1141.0,154.0737716093877,147.0,48.458538253274384,879.0,117.4473206511918,111.0,67.43821711668139,1211.0,152.6884818649298,39.0,52.75996772233745,588.0,79.61575491924638,361.0,71.75679042181623,569.0,95.98119540426057,36.0,51.715901393465536,595.0,104.49801040394266,232.0,80.00636325905955,536.0,83.78908182472802,350.0,157.28729362511777,481.0,92.20167970261387,284.0,53.38738316311421,571.0,99.93705277698447,36.0,117.41140502854124,456.0,71.75618793134726,18.0,60.72437239385878,540.0,104.8901418935459,1.0,42.76643526449755,749.0,150.05215668343052,58.0,68.73636918581391,661.0,146.63977924906152,191.0,81.02873730116761
b1728,PROKKA_01381,PROKKA_00051,PROKKA_00395,PROKKA_01243,PROKKA_01715,PROKKA_04934,PROKKA_04560,PROKKA_03570,PROKKA_02948,PROKKA_00390,PROKKA_01900,PROKKA_00381,PROKKA_01103,PROKKA_03066,137.0,12.982197104527181,94.0,35.14124134011247,262.0,18.468986577030485,170.0,29.255033586319,336.0,23.436471181717547,189.0,59.94370888374191,217.0,14.283037374805033,64.0,45.197934973607815,326.0,23.04294569333475,240.0,24.90380744626816,121.0,10.655110632170572,29.0,21.74794874041592,309.0,28.330108663050936,118.0,21.2430688653365,287.0,23.420881852323102,303.0,71.08319317322271,163.0,16.310980400260853,360.0,35.3281991234549,162.0,14.80144612591771,24.0,40.86182231501775,167.0,16.285658170235347,22.0,45.99467329988677,342.0,34.67893278875879,2.0,44.65105783547541,163.0,17.046951809497287,93.0,57.536077117429976,241.0,27.910401636194102,124.0,27.461616248169257
b4263,PROKKA_04297,PROKKA_02735,PROKKA_03464,PROKKA_04203,PROKKA_04457,PROKKA_02000,PROKKA_01749,PROKKA_01537,PROKKA_00115,PROKKA_03321,PROKKA_03640,PROKKA_03259,PROKKA_04044,PROKKA_00020,1225.0,45.59800051171197,38.0,5.580266246744211,2550.0,63.1659846263051,121.0,7.31708947106931,974.0,26.686645047250106,49.0,6.104638696302562,2311.0,59.75068151887472,35.0,9.709318379712482,2571.0,63.85924628807417,216.0,7.87607013339392,1719.0,53.19242442743721,41.0,10.804519932444622,1520.0,54.74134045441909,215.0,15.203927450224194,1181.0,37.857621350116716,111.0,10.228910014182091,1445.0,50.81145416035103,212.0,7.310653077826979,1549.0,55.593322602527714,34.0,22.738797038372613,1033.0,38.218554601896955,17.0,13.484003980247861,1314.0,46.82052710610455,7.0,54.91628018478661,403.0,14.81035575420722,22.0,4.7827898133441,680.0,27.67319298545388,150.0,11.673389680699815
b0817,PROKKA_00315,PROKKA_03779,PROKKA_04501,PROKKA_00080,PROKKA_00713,PROKKA_00936,PROKKA_00713,PROKKA_02568,PROKKA_03866,PROKKA_04499,PROKKA_00707,PROKKA_04313,PROKKA_00052,PROKKA_04100,2322.0,277.9873144197337,244.0,115.24290635843525,2682.0,238.85573810224017,420.0,91.31373375349348,2135.0,188.14208552596682,194.0,77.73536950741645,2660.0,221.19617181952668,144.0,128.48021130078024,2185.0,195.12232787642367,1265.0,165.83651577018418,1445.0,160.75910187157382,92.0,87.16522614116343,2016.0,233.5153423572573,539.0,122.59115758475774,1752.0,180.63029010967287,292.0,86.54505989274145,1348.0,170.41879286839978,634.0,78.60377209207437,1920.0,221.628442269273,53.0,114.00331761158144,270.0,45.124354116536885,18.0,64.49347137002933,1065.0,136.43454811611122,4.0,112.82280138299996,2591.0,342.34317417874706,168.0,131.3111824245276,987.0,144.4113497899092,412.0,115.2754313325444
