"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"eco00600 Sphingolipid metabolism",NA,NA,NA,NA,0,NA
"eco00621 Dioxin degradation",NA,NA,NA,NA,0,NA
"eco00622 Xylene degradation",NA,NA,NA,NA,0,NA
"eco00623 Toluene degradation",NA,NA,NA,NA,0,NA
"eco00625 Chloroalkane and chloroalkene degradation",NA,NA,NA,NA,0,NA
"eco00626 Naphthalene degradation",NA,NA,NA,NA,0,NA
"eco00627 Aminobenzoate degradation",NA,NA,NA,NA,2,NA
"eco00630 Glyoxylate and dicarboxylate metabolism",NA,NA,NA,NA,8,NA
"eco00633 Nitrotoluene degradation",NA,NA,NA,NA,0,NA
"eco00640 Propanoate metabolism",NA,NA,NA,NA,7,NA
"eco00660 C5-Branched dibasic acid metabolism",NA,NA,NA,NA,5,NA
"eco00670 One carbon pool by folate",NA,NA,NA,NA,4,NA
"eco00680 Methane metabolism",NA,NA,NA,NA,7,NA
"eco00730 Thiamine metabolism",NA,NA,NA,NA,0,NA
"eco00740 Riboflavin metabolism",NA,NA,NA,NA,0,NA
"eco00750 Vitamin B6 metabolism",NA,NA,NA,NA,1,NA
"eco00760 Nicotinate and nicotinamide metabolism",NA,NA,NA,NA,0,NA
"eco00770 Pantothenate and CoA biosynthesis",NA,NA,NA,NA,6,NA
"eco00780 Biotin metabolism",NA,NA,NA,NA,3,NA
"eco00785 Lipoic acid metabolism",NA,NA,NA,NA,0,NA
"eco00790 Folate biosynthesis",NA,NA,NA,NA,2,NA
"eco00860 Porphyrin and chlorophyll metabolism",NA,NA,NA,NA,2,NA
"eco00900 Terpenoid backbone biosynthesis",NA,NA,NA,NA,0,NA
"eco00903 Limonene and pinene degradation",NA,NA,NA,NA,1,NA
"eco00910 Nitrogen metabolism",NA,NA,NA,NA,2,NA
"eco00920 Sulfur metabolism",NA,NA,NA,NA,4,NA
"eco00930 Caprolactam degradation",NA,NA,NA,NA,1,NA
"eco01040 Biosynthesis of unsaturated fatty acids",NA,NA,NA,NA,1,NA
"eco01053 Biosynthesis of siderophore group nonribosomal peptides",NA,NA,NA,NA,0,NA
"eco01212 Fatty acid metabolism",NA,NA,NA,NA,4,NA
"eco01220 Degradation of aromatic compounds",NA,NA,NA,NA,0,NA
