"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86","ur_rpkms_means","uti_rpkms_means","LFC","na_num",geneName
"53315_arcA_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647912571430238,4.63000023472693,NA,NA,NA,NA,0.647912571430238,4.63000023472693,7.14602623700665,24,arcA
"9816_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0.105185764441321,0.703051605342228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.0525928822206606,0.351525802671114,6.68390451004834,22,hypothetical_protein
"62561_epsE_1",NA,NA,NA,NA,NA,NA,0.880582450448859,5.831692947724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880582450448859,5.831692947724,6.62254050685591,24,epsE
"33991_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0528163967122648,0.329531527878894,NA,NA,NA,NA,NA,NA,NA,NA,0.0528163967122648,0.329531527878894,6.23918988025876,24,hypothetical_protein
"50947_Type_IV_secretion-system_coupling_protein_DNA-binding_domain_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903164082673872,5.47310844924872,NA,NA,NA,NA,0.903164082673872,5.47310844924872,6.05992704342853,24,type
"55119_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17499434959703,7.05323370746899,NA,NA,NA,NA,1.17499434959703,7.05323370746899,6.00278095795776,24,hypothetical_protein
"8977_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0.17689141021325,1.05868226507767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17689141021325,1.05868226507767,5.98492749761778,24,hypothetical_protein
"54283_bioA_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21197896073166,7.22464745139865,NA,NA,NA,NA,1.21197896073166,7.22464745139865,5.96103371880088,24,bioA
"22097_higB_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539134059688107,3.17683899169858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539134059688107,3.17683899169858,5.89248431741895,24,higB
"29290_virB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.742655548958432,4.22007595311829,0,0,NA,NA,0.247551849652811,1.40669198437276,5.68241354829559,20,virB1
"52435_fimD_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02637313707987,5.78987747577438,NA,NA,NA,NA,1.02637313707987,5.78987747577438,5.64110387012574,24,fimD
"53356_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05760252561033,5.84952272370224,NA,NA,NA,NA,1.05760252561033,5.84952272370224,5.53092733995367,24,hypothetical_protein
"51968_putative_permease_YjgP-YjgQ_family_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09068378499294,5.74453087659919,NA,NA,NA,NA,1.09068378499294,5.74453087659919,5.26690774690151,24,putative_permease_YjgP-YjgQ_family_protein
"51973_yghQ_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08429219940206,5.58369246211998,NA,NA,NA,NA,1.08429219940206,5.58369246211998,5.1496196921818,24,yghQ
"12456_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27477711211635,1.7201838457461,NA,NA,NA,NA,NA,NA,1.08043213128339,5.64515611064324,0,4.63000023472693,NA,NA,NA,NA,0.785069747799913,3.99844673037209,5.09311018744178,20,hypothetical_protein
"37459_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829651469784683,4.11146842156095,NA,NA,NA,NA,NA,NA,0.829651469784683,4.11146842156095,4.95565737095359,24,hypothetical_protein
"991_hypothetical_protein",0.42735286707596,2.02047501588157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42735286707596,2.02047501588157,4.72788454586977,24,hypothetical_protein
"12458_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555388917704588,1.79364318451409,NA,NA,NA,NA,NA,NA,0.677291556313843,4.00574522143254,NA,NA,NA,NA,NA,NA,0.616340237009216,2.89969420297332,4.7046972254222,22,hypothetical_protein
"37815_klcA_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776091036559784,3.60834797475563,NA,NA,NA,NA,NA,NA,0.776091036559784,3.60834797475563,4.64938751354549,24,klcA
"23243_mbtB_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57284409356611,7.26710839514882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57284409356611,7.26710839514882,4.62036156340971,24,mbtB
"52671_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5295111145347,7.05323370746899,NA,NA,NA,NA,1.5295111145347,7.05323370746899,4.61143017559222,24,hypothetical_protein
"29671_hypothetical_protein",NA,NA,NA,NA,NA,NA,0.379305248493198,2.48962959657188,NA,NA,NA,NA,NA,NA,NA,NA,0.243846795588574,0.276445339096871,NA,NA,NA,NA,NA,NA,NA,NA,0.311576022040886,1.38303746783438,4.43884435899528,22,hypothetical_protein
"50867_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37011540354877,6.0753204119787,NA,NA,NA,NA,1.37011540354877,6.0753204119787,4.43416692947387,24,hypothetical_protein
"24491_small_toxic_polypeptide",NA,NA,NA,NA,0.365078885968005,4.18207654937855,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.822185235400623,2.31158974669902,NA,NA,NA,NA,NA,NA,0.536467857119095,1.01845605158964,0.430932994621931,1.8780305869168,4.35805707698118,18,small_toxic_polypeptide
"52829_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46631394317194,6.37698376691594,NA,NA,NA,NA,1.46631394317194,6.37698376691594,4.348989380215,24,hypothetical_protein
"7905_epsF_1",NA,NA,NA,NA,0.619948060508889,1.37785659576107,0.794133527948596,4.35978481995913,0.934558102812377,3.03348200822177,0.591495029807073,2.93666138109014,1.11472540444707,3.39907353952931,0,0,1.0356717884943,5.19529660155784,0.962309124051582,5.17899251103743,0.872282156922869,5.70581407081792,1.33551415799834,3.43997532535685,0.692229669403945,4.18669512723796,0.813897002035912,3.52851199823358,4.33532988745164,4,epsF
"9793_Antirestriction_protein_-ArdA-",NA,NA,NA,NA,NA,NA,NA,NA,0.876483246819688,0.945112610389966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675826753827188,5.67492047671107,NA,NA,NA,NA,0.776155000323438,3.31001654355052,4.26463340720755,22,antirestriction_protein_-ArdA-
"60382_flgC_1",NA,NA,NA,NA,NA,NA,2.13592868659018,9.07210710928239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13592868659018,9.07210710928239,4.24738296097572,24,flgC
"9831_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28822288412537,5.46530689182419,NA,NA,NA,NA,0.644111442062687,2.7326534459121,4.24251653900312,22,hypothetical_protein
"34065_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286232992641779,1.17536959579164,NA,NA,NA,NA,NA,NA,NA,NA,0.286232992641779,1.17536959579164,4.10633863323582,24,hypothetical_protein
"44031_merR",NA,NA,NA,NA,0.48892448576729,2.00130503840507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48892448576729,2.00130503840507,4.09328044854276,24,merR
"32484_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734086218120955,2.97221914637244,NA,NA,NA,NA,NA,NA,NA,NA,0.734086218120955,2.97221914637244,4.04886929219356,24,hypothetical_protein
"28563_hypothetical_protein",NA,NA,NA,NA,0.299557075385713,1.10130921402943,NA,NA,NA,NA,NA,NA,NA,NA,0.413794355560059,0,NA,NA,0.245277974153867,2.77068808733341,NA,NA,NA,NA,NA,NA,0.319543135033213,1.29066576712095,4.03909715346192,20,hypothetical_protein
"43653_hypothetical_protein",NA,NA,NA,NA,0.53042278632931,2.10720443847454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53042278632931,2.10720443847454,3.97268837761864,24,hypothetical_protein
"50931_virB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36022072936211,5.39423862690095,NA,NA,NA,NA,1.36022072936211,5.39423862690095,3.96570829311699,24,virB2
"10925_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20988347732835,0,NA,NA,1.10917584969638,0,NA,NA,1.08204238291466,5.43054281229693,0,7.73632397358665,NA,NA,NA,NA,0.850275427484845,3.29171669647089,3.87135343450763,18,hypothetical_protein
"54764_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40575985578645,5.30053590021762,NA,NA,NA,NA,1.40575985578645,5.30053590021762,3.77058419928504,24,hypothetical_protein
"1723_Phage_head_completion_protein_-GPL-",0.166187647336321,0.62415743764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166187647336321,0.62415743764706,3.75573905552634,24,phage_head_completion_protein_-GPL-
"37462_era_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2347903082759,4.59706546474811,NA,NA,NA,NA,NA,NA,1.2347903082759,4.59706546474811,3.72295233768628,24,era_4
"33558_Phage_terminase-_small_subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34264810934443,2.71299054758021,NA,NA,1.36311497097384,7.25823549128006,NA,NA,NA,NA,1.35288154015914,4.98561301943014,3.68518075783906,22,phage_terminase-_small_subunit
"63258_putative_glycosyl_transferase",NA,NA,NA,NA,NA,NA,0.892374212508296,3.28728731503262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892374212508296,3.28728731503262,3.68375426917893,24,putative_glycosyl_transferase
"62562_epsE_2",NA,NA,NA,NA,NA,NA,1.5688555571077,5.76230521354099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5688555571077,5.76230521354099,3.672935463966,24,epsE
"26885_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756877490241986,2.76367411612493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756877490241986,2.76367411612493,3.6514153898821,24,hypothetical_protein
"43914_traI_2",NA,NA,NA,NA,0.686441554217992,2.46904987169908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686441554217992,2.46904987169908,3.59688287593816,24,traI
"23244_angR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21117459643598,7.86052159235905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21117459643598,7.86052159235905,3.55490769703523,24,angR
"60388_flgH",NA,NA,NA,NA,NA,NA,2.18216134299637,7.68292180692627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18216134299637,7.68292180692627,3.52078540461023,24,flgH
"44199_arcC1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65080402711837,5.77662478434798,NA,NA,NA,NA,1.65080402711837,5.77662478434798,3.49927955678155,24,arcC1_1
"1714_hypothetical_protein",0.257140426745585,0.899216104409373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257140426745585,0.899216104409373,3.4969845690544,24,hypothetical_protein
"11299_hypothetical_protein",NA,NA,NA,NA,0,0,0.99680791329248,0,NA,NA,0.18251679420276,0,NA,NA,0,0,NA,NA,0.186069732257699,4.75267268895308,NA,NA,NA,NA,NA,NA,0.273078887950588,0.950534537790615,3.4808056562857,16,hypothetical_protein
"12650_hypothetical_protein",NA,NA,NA,NA,1.15150324556976,4.01415915110177,NA,NA,NA,NA,1.13829818277934,2.59658326985815,NA,NA,0,0,NA,NA,1.56648305690986,6.54666288726487,1.68853865114688,6.87632506734491,1.13452562506489,2.85345309079943,NA,NA,1.11322479357845,3.81453057772819,3.4265591277988,14,hypothetical_protein
"23534_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32232465176361,0.774323576759615,0.219536342301671,0.351588726183844,NA,NA,NA,NA,0.391487712032847,5.47751629762251,NA,NA,NA,NA,0.644449568699377,2.20114286685532,3.41553935911176,20,hypothetical_protein
"43952_ssbF_1",NA,NA,NA,NA,0.406008896361955,1.38588960570677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406008896361955,1.38588960570677,3.41344640012827,24,ssbF
"4843_recombination_protein_F",0.309049843292545,1.04206871121852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309049843292545,1.04206871121852,3.37184675493298,24,recombination_protein_F
"23582_ydhY_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770535348057822,2.58792920808764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770535348057822,2.58792920808764,3.35861192430777,24,ydhY
"37189_cbeA_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50215114333065,4.78572072425721,0.33061377661939,4.80669629212441,0.872552004139771,0,0.214076573090631,0,0.729848374295111,2.39810425409541,3.28575679354154,18,cbeA
"51972_yghQ_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38836162018005,4.56089923530352,NA,NA,NA,NA,1.38836162018005,4.56089923530352,3.28509458127489,24,yghQ
"51706_Electron_transfer_flavoprotein_domain_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66086015411435,5.39886406883659,NA,NA,NA,NA,1.66086015411435,5.39886406883659,3.25064338226328,24,electron_transfer_flavoprotein_domain_protein
"28650_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791373347986292,2.56257813533706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791373347986292,2.56257813533706,3.23814055888757,24,hypothetical_protein
"37194_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63085824555616,5.2727551395237,NA,NA,NA,NA,NA,NA,1.63085824555616,5.2727551395237,3.23311676774555,24,hypothetical_protein
"25088_yjcD_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32543329144912,4.27303314096709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32543329144912,4.27303314096709,3.2238764248145,24,yjcD
"66519_Prophage_CP4-57_regulatory_protein_-AlpA-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413969449803047,1.32982853353939,0.413969449803047,1.32982853353939,3.21238326686203,24,prophage_CP4-57_regulatory_protein_-AlpA-
"23796_Plasmid_SOS_inhibition_protein_-PsiB-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590051555058139,1.8839971077753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590051555058139,1.8839971077753,3.1929364334777,24,plasmid_SOS_inhibition_protein_-PsiB-
"25194_soxS_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538224992639147,1.71268440206784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538224992639147,1.71268440206784,3.18209749731207,24,soxS
"1615_hypothetical_protein",0,0.646339409483036,NA,NA,0.451861832091257,1.90249606985787,NA,NA,NA,NA,0.283359658327679,0,NA,NA,0.261282027358518,1.4151124720099,0.451967884362016,0.643973268304985,0,0,NA,NA,0,0,NA,NA,0.206924486019924,0.658274459950827,3.18123037351628,12,hypothetical_protein
"33985_Fimbrial-_major_and_minor_subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101976030554298,0.324254470679893,NA,NA,NA,NA,NA,NA,NA,NA,0.101976030554298,0.324254470679893,3.17971261400728,24,fimbrial-_major_and_minor_subunit
"66480_gspK_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30943556784787,4.15660420798838,1.30943556784787,4.15660420798838,3.17434802448508,24,gspK
"13212_xcpW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93258599845388,4.97726912605665,NA,NA,0,0,NA,NA,1.62831872736499,5.93676452145895,NA,NA,NA,NA,NA,NA,1.18696824193962,3.63801121583853,3.06496087030405,20,xcpW
"60463_hypothetical_protein",NA,NA,NA,NA,NA,NA,1.47429808557909,4.51358402164556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47429808557909,4.51358402164556,3.06151385923606,24,hypothetical_protein
"18320_bioA",2.23843511642136,6.86833868668367,1.93257586969577,6.82450777131744,1.68127435606743,5.47528204204299,0,0,1.38086362315326,1.8733624750982,1.83372963716214,5.29698394406557,1.79365338749964,2.61687340793075,1.57510892289042,7.55831339548041,1.34468045327766,2.8441924311709,1.73615733130446,6.95894693157745,NA,NA,0,0,1.48844387454728,5.53100822627122,1.41707688100162,4.32065077596988,3.04898826160791,2,bioA
"9872_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0.400828773854046,1.2200267049244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400828773854046,1.2200267049244,3.04376028994527,24,hypothetical_protein
"16108_putative_type_II_secretion_protein_GspC",NA,NA,1.93868053946095,5.87102263265832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93868053946095,5.87102263265832,3.02836001762867,24,putative_type_II_secretion_protein_GspC
"38607_flgG_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52981550341272,4.62808824171862,NA,NA,NA,NA,NA,NA,1.52981550341272,4.62808824171862,3.02525907953884,24,flgG
"43745_hypothetical_protein",NA,NA,NA,NA,0.619125064139263,1.87198125687404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619125064139263,1.87198125687404,3.02359146043709,24,hypothetical_protein
"9801_Ribbon-helix-helix_protein-_copG_family",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08390188604516,6.25614560061895,NA,NA,NA,NA,1.04195094302258,3.12807280030947,3.0021305909425,22,ribbon-helix-helix_protein-_copG_family
"28865_gudD_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165395905132762,0.493562672759393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165395905132762,0.493562672759393,2.98412873258992,24,gudD
"28866_gudD_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764321102414289,2.2791423381232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764321102414289,2.2791423381232,2.98191732627032,24,gudD
"5172_yeaN_1",NA,NA,NA,NA,NA,NA,NA,NA,2.21273036513385,6.59170642268743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21273036513385,6.59170642268743,2.97899216576652,24,yeaN
"54664_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17858532602233,3.48345271432337,NA,NA,NA,NA,1.17858532602233,3.48345271432337,2.95562199648273,24,hypothetical_protein
"17579_hypothetical_protein",0.555534925308737,1.9410611210353,0.418211307956867,0.836645372858922,NA,NA,0.20342983794303,1.11258961393209,0.407953287252864,0.770156215810172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396282339615375,1.16511308090912,2.94010851465135,18,hypothetical_protein
"52436_elfC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93716650523615,5.68556965937414,NA,NA,NA,NA,1.93716650523615,5.68556965937414,2.9349927556594,24,elfC
"21205_fruA_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268519791163342,0.787676629396179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268519791163342,0.787676629396179,2.93340251004825,24,fruA
"12454_ykfI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888102876447342,1.18712146036098,NA,NA,NA,NA,NA,NA,0.901797966034067,4.05272094333421,NA,NA,NA,NA,NA,NA,0.894950421240705,2.61992120184759,2.92744842581949,22,ykfI
"22224_Procyclic_acidic_repetitive_protein_-PARP-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79714804033342,8.09776659082861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79714804033342,8.09776659082861,2.89500822768872,24,procyclic_acidic_repetitive_protein_-PARP-
"33549_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10677780777429,3.09458912716563,NA,NA,1.93886875099204,5.65805001796033,NA,NA,NA,NA,1.52282327938316,4.37631957256298,2.87381972144244,22,hypothetical_protein
"34087_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775582362453941,2.22472795232529,NA,NA,NA,NA,NA,NA,NA,NA,0.775582362453941,2.22472795232529,2.86846124928144,24,hypothetical_protein
