gene_id	KO	symbol	error
15843_ygbN	K03299	ygbN	No
16276_agaC_3	K10985	agaC	No
16353_nanK_2	NA	nanK	No
16273_agaS	K02082	agaS	No
15840_hypothetical_protein	NA	ygbK	No
17935_lacY_2	K02532	lacY	No
15841_fucA_1	NA	ygbL	No
15839_garR_1	K08319	ygbJ	No
15842_ygbM	NA	ygbM	No
1888_thlA_1	K00626	atoB	No
1887_atoE	K02106	atoE	No
1886_atoA	NA	atoA	No
1885_atoD	NA	atoD	No
