"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6"
"23192_adhE_3",48,11,69,2,29,5,66,0,140,1,32,4
"23197_pduL",176,9,43,1,30,11,13,0,38,0,76,8
"23206_pduA_2",3,2,10,0,34,7,19,0,23,0,4,0
"2411_hypothetical_protein",288,8,254,20,146,15,320,190,175,5,280,2
"2512_nlpD_2",1213,135,2549,52,1681,830,834,20,861,5,749,45
"25856_intS_2",110,71,58,27,57,3,187,1,189,24,59,117
"2644_papC_4",564,36,17,1,1490,3689,53,15,44,1,0,0
"28832_clpB_3",80,9,69,15,58,26,75,3,52,2,51,19
"28835_hypothetical_protein",19,1,18,26,17,1,8,0,1,0,13,2
"29543_hypothetical_protein",974,54,573,576,543,17,579,3,344,26,390,288
"3068_putative_transposase",393,19,439,4,468,130,624,60,731,4,572,94
"3649_Phage-related_baseplate_assembly_protein",19,5,82,6,30,0,29,4,25,14,27,2
"3890_hypothetical_protein",103,15,116,10,73,47,42,0,34,5,60,41
"3891_hypothetical_protein",45,3,28,8,17,12,13,3,15,1,17,4
"3892_hypothetical_protein",260,18,72,1,104,46,137,1,99,7,152,34
"3895_hypothetical_protein",101,15,272,13,33,10,267,10,213,12,18,1
"3902_hypothetical_protein",7,0,24,9,16,1,21,3,7,1,16,1
"3922_hypothetical_protein",128,37,5004,1035,278,33,523,20,211,18,0,0
"4005_hxlR",90,5,54,2,88,1,60,35,127,5,106,0
"4361_tilS",1105,275,848,55,898,80,549,70,508,1,544,214
"4387_Intracellular_multiplication_and_human_macrophage-killing",368,34,497,84,305,100,427,211,441,17,369,91
"4388_hypothetical_protein",119,13,162,39,147,32,122,61,200,5,103,13
"4391_hypothetical_protein",59,4,48,15,68,19,58,30,98,1,63,13
"4446_yafN",258,32,460,28,276,41,277,181,421,23,149,40
"4483_flagellar_hook-basal_body_protein_FliE",5,2,11,0,10,0,6,1,7,6,8,1
"4511_dmlR_9",1024,62,1520,29,1343,88,1251,439,1345,12,1472,29
"4587_hypothetical_protein",24,1,36,10,44,1,30,6,38,18,46,11
"4831_hypothetical_protein",143,17,477,90,177,57,109,10,31,1,375,54
"4848_iutA",2198,137,49323,1681,0,0,32919,725,5883,21,1378,295
"4849_iucD",1262,117,70973,1804,0,0,41517,793,9662,25,1101,297
"4934_IncFII_RepA_protein_family_protein",2655,268,2033,169,1214,255,2202,1077,461,573,0,0
"4935_Replication_regulatory_protein_RepB",1001,270,3077,110,7161,2458,9378,2156,1856,1313,0,0
"4949_hypothetical_protein",38,2,144,5,23,7,57,5,401,17,35,3
"4950_hypothetical_protein",76,3,22,1,37,5,23,1,262,14,26,5
"4951_Type-F_conjugative_transfer_system_pilin_chaperone_-TraQ-",19,4,115,4,7,0,43,3,235,29,29,11
"4954_hypothetical_protein",227,2,206,1,171,7,85,10,295,36,93,30
"4958_hypothetical_protein",25,4,108,2,46,3,31,15,49,13,0,0
"4962_F_pilus_assembly_Type-IV_secretion_system_for_plasmid_transfer",335,39,240,16,182,16,317,58,198,41,452,45
"4965_hypothetical_protein",83,4,130,3,8371,1511,68,8,52,8,2166,2
"4968_hypothetical_protein",50,2,108,5,64,5,127,9,181,20,299,29
"4969_TraP_protein",158,5,76,9,85,5,105,12,253,34,112,21
"4971_TraK_protein",36,1,9,0,25,2,41,3,24,0,15,5
"4978_Transglycosylase_SLT_domain_protein",595,8,787,12,1222,63,476,16,848,33,1633,148
"4980_hypothetical_protein",32,5,111,7,65,8,23,0,23,7,80,6
"4981_hypothetical_protein",5975,229,18694,54,2801,248,7472,145,4869,96,117,34
"4982_PsiA_protein",295,16,128,7,198,61,97,7,137,8,150,2
"4983_Plasmid_SOS_inhibition_protein_-PsiB-",517,17,62,4,24,3,129,6,206,15,56,11
"4988_hypothetical_protein",158,54,32,4,70,7,41,1,219,34,89,23
"5089_lafU",19,1,12,0,35,7,18,3,7,0,15,4
"5230_malZ_1",252,12,398,96,175,16,262,46,117,1,268,53
"6058_hypothetical_protein",137,0,131,23,53,3,92,20,291,3,70,3
"6063_hypothetical_protein",81,1,191,14,313,59,200,2,118,36,233,2
"6064_hypothetical_protein",41,0,22,0,185,39,79,0,126,30,125,1
"607_hypothetical_protein",365,22,160,7,246,69,40,2,108,6,25,11
"6088_Phage_Terminase",185,7,225,41,504,85,30,149,366,14,94,9
"668_hypothetical_protein",1507,139,5097,128,3957,214,3299,26,4122,100,3207,699
"6698_yvgN",69,2,55,27,39,9,48,25,43,1,78,0
"6699_yhdN_1",571,26,603,279,373,198,504,414,379,9,719,15
"7254_yfcG",402,0,107,5,66,4,147,1,55,1,18,7
"798_Antitermination_protein",153,18,112,12,133,2,115,2,415,52,489,9
"801_nanS_1",661,19,740,14,323,40,58,19,326,4,558,5
"808_Phage_DNA_packaging_protein_Nu1",215,8,161,6,671,107,71,27,153,6,112,41
"834_Caudovirales_tail_fiber_assembly_protein",34,2,0,0,31,4,47,0,69,2,61,1
"9261_fecI",4765,43,6323,38,4410,124,5913,198,2687,13,687,26
"9588_ccdA_1",1801,64,0,0,1971,79,869,71,564,334,1970,702
"9589_ccdB_1",2542,100,0,0,2116,227,1070,305,1224,1411,2554,2028
"9592_soj",12941,1091,13610,3210,11467,914,6976,779,12289,6295,8877,1903
"9595_yhdJ_2",22,15,9,5,10,3,3,6,6,1,44,1
"990_hypothetical_protein",20,2,25,0,39,32,23,1,24,1,83,3
"9952_hypothetical_protein",19,0,12,26,13,2,14,1,62,2,14,5
"9954_hypothetical_protein",52,4,35,10,85,31,27,0,34,2,37,9
