"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5"
"4749_site-specific_tyrosine_recombinase_XerD",3408,288,4145,44,4561,1614,2771,620,6611,20
"4758_FtsZ_inhibitor_protein",164,5,143,11,167,60,8,3,316,22
"4763_hypothetical_protein",91,3,106,4,101,34,15,6,83,4
"4793_Bacteriophage_lambda_head_decoration_protein_D",1,0,0,0,8,3,113,3,173,12
"4827_Transposase",269,35,196,9,172,0,501,2,128,46
"4836_parM",3467,602,39,3,0,0,16616,4256,2696,15
"4855_repB",5743,254,3620,1013,1917,190,1451,757,2075,447
"4857_xerD_3",1477,199,1400,260,765,55,546,368,1181,647
"4862_Nickel_uptake_substrate-specific_transmembrane_region",1392,106,2360,533,867,66,607,2,943,14
"4887_Transposase",222,18,313,19,210,59,159,4,17,3
"4897_hypothetical_protein",115,8,518,82,179,57,256,88,542,0
"4898_hypothetical_protein",127,3,166,46,718,141,492,167,970,2
"4945_ylpA",22850,603,2080,32,17560,2769,6532,879,25322,1210
"4947_hypothetical_protein",5188,110,2554,500,2749,251,4765,359,1574,341
"4955_Conjugal_transfer_protein_TrbE",48,0,89,3,75,12,36,2,596,51
"4970_Bacterial_conjugation_TrbI-like_protein",183,14,97,8,133,10,180,14,77,22
"4976_hypothetical_protein",260,19,152,18,298,52,12,2,49,12
"4987_16S_ribosomal_RNA_methyltransferase_KsgA-Dim1_family_protein",105,4,19,1,27,1,89,7,11,2
"4989_hypothetical_protein",63,8,21,0,15,1,42,6,23,4
"5231_malZ_2",229,7,395,139,298,67,153,8,252,29
"5933_torA_1",21,9,113,24,231,1,10,0,92,2
"6069_hypothetical_protein",167,4,240,31,217,3,812,201,477,1
"6071_hypothetical_protein",78,21,43,2,157,61,52,0,60,1
"6090_Phage_portal_protein",281,67,385,63,26,134,300,9,104,0
"6095_Phage_gp6-like_head-tail_connector_protein",12,3,65,3,11,47,23,5,31,1
"6104_Phage_minor_tail_protein",48,0,225,43,153,26,35,12,151,1
"624_hypothetical_protein",267,8,66,2,49,0,33,0,46,11
"634_Lysis_protein_S",5,0,6,0,80,20,56,3,362,68
"638_Phage_DNA_packaging_protein_Nu1",45,2,173,7,26,22,104,9,236,48
"640_gpW",32,2,6,0,10,3,18,1,86,6
"6951_hypothetical_protein",1581,75,284,68,136,7,611,83,1358,71
"6961_hypothetical_protein",3,4,6,1,6,1,3,0,3,0
"792_hypothetical_protein",314,16,494,12,346,23,260,42,269,75
"794_hypothetical_protein",2524,864,4810,200,2387,540,2769,3922,2932,78
"8009_hypothetical_protein",456,8,271,112,213,72,235,6,148,49
"9271_hypothetical_protein",155,2,5,0,238,3,254,6,223,2
"9280_flu_4",325,47,399,14,674,164,2711,12,450,9
"9295_hypothetical_protein",148,8,24,1,35,9,9,2,5,1
"9330_hypothetical_protein",302,12,276,125,669,74,208,2,127,1
"955_glucose-1-phosphate_adenylyltransferase",355,7,406,1,362,44,672,4,200,1
"9578_iucC_1",44472,647,246,0,23990,391,5831,5,262,44
"9593_virB",5398,383,5884,1331,5368,341,4765,1829,3370,797
"9640_hypothetical_protein",43,0,16,2,32,0,185,3,18,4
"9908_hypothetical_protein",1,0,0,0,2,0,1,0,2,0
"9957_Phage-related_baseplate_assembly_protein",67,4,74,22,49,3,30,0,102,36
"9997_trg",178,5,325,43,191,5,208,0,265,5
