"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10"
"18913_hypothetical_protein",1206,52,916,70,738,24,665,84,131,4,189,34,371,50,379,134,259,0,343,3
"18949_aroP_2",144,100,264,553,239,44,250,404,316,33,130,218,165,739,136,9,196,32,99,384
"19009_hipA",1406,44,2073,174,1331,26,2083,22,1737,488,882,37,854,90,879,411,747,18,767,176
"19068_rrrD",26,3,304,13,88,0,55,1,17,4,170,24,289,11,26,0,118,4,590,60
"19081_DicB_protein",6,0,5,1,6,0,60,0,46,1,10,0,2,0,20,1,8,0,2,0
"19082_hypothetical_protein",18,0,6,0,3,0,50,0,61,0,25,0,0,1,14,1,32,0,4,0
"19095_dmsB_2",255,5,174,18,74,5,388,2,177,27,113,9,187,24,132,0,95,1,207,0
"19096_dmsC_2",689,106,1171,340,1022,74,1722,32,1025,430,878,48,982,267,924,10,940,1,1200,33
"19100_nagC_2",2518,186,1771,330,1496,134,2080,814,1763,91,2224,358,2218,471,1612,908,1869,24,1962,707
"19102_ynfM_2",499,9,1496,199,544,47,1143,329,475,12,282,121,585,10,439,3,174,20,629,112
"1913_rhmA",139,10,62,0,50,1,43,4,50,3,54,18,31,2,40,2,32,1,49,7
"1939_Bacterial_leucyl_aminopeptidase_precursor",225,20,98,5,29,2,85,9,96,37,38,24,26,6,50,3,57,3,28,17
"2147_Invasin",190,14,323,22,205,23,195,25,221,52,304,163,200,13,209,4,196,8,188,49
"224_pnuC",367,99,1113,69,1599,52,1277,65,1034,303,1302,592,1396,17,997,3,1016,28,1272,181
"2276_hxlB",6,2,59,1,85,3,25,3,100,62,66,21,100,3,45,0,54,1,97,2
"2278_ptsG_3",13,0,138,1,169,15,63,5,103,45,84,41,275,11,53,1,154,6,162,14
"2359_mopA",2019,31,3761,40,4842,26,4481,69,3690,88,3642,167,4821,9,3224,2,1301,18,2822,288
"2584_hflC_1",127,4,136,1,48,2,61,4,69,9,58,17,51,3,55,5,20,2,57,9
"2607_siaT_1",168,9,74,4,153,12,233,26,175,23,86,26,127,3,148,1,95,4,60,15
"2636_Transposase",322,8,388,6,0,0,1651,546,0,0,77,14,4351,11,320,2,0,0,583,71
"2655_hypothetical_protein",12,0,10,1,18,0,45,15,4,0,2,1,4,0,0,0,2,1,9,0
"2659_cbtA_2",13,1,13,0,2,0,4,0,0,1,20,10,11,6,1,2,8,0,7,1
"2661_hypothetical_protein",117,14,116,6,29,3,94,22,0,0,14,2,29,1,2,0,3,0,22,4
"2670_kpsM",2363,1035,10008,403,1334,3659,263,593,4787,2679,3603,8466,3421,147,1491,24,1428,196,3713,5275
"2705_pdhR_1",2719,314,3660,190,1399,160,2166,283,2184,591,1756,1124,997,40,1625,15,2332,75,1112,578
"2707_yjjN_1",54,6,67,7,123,3,40,7,101,148,41,20,95,3,126,3,115,3,97,18
"2708_yjmC",64,7,66,1,88,4,55,14,89,109,36,26,70,4,88,4,172,3,71,12
"2715_ygiS",1075,47,512,35,1005,20,828,78,0,0,725,239,461,13,473,5,333,15,457,58
"2775_higA_1",317,36,380,24,1306,8,717,156,532,20,374,209,451,7,345,3,509,9,452,61
"2897_elbB",3777,55,3429,37,1994,10,2987,480,2792,84,2396,236,2408,369,2264,5,1571,36,1445,254
"3021_yccS_2",814,88,1987,68,1893,38,2120,77,1194,204,1203,411,1726,18,1350,4,2793,22,1142,184
"308_gsiA_1",2020,92,1962,76,1469,38,1649,105,1442,207,1515,413,1630,5,1187,1,2341,25,1345,202
"3195_hemS",13416,148,13833,191,19676,292,7126,5024,19365,414,17442,4320,15638,53,19396,78,945,83,10523,3348
"3197_hmuT",19280,24,19193,132,16310,220,5164,1647,11053,153,12786,1658,11355,32,10850,33,2489,28,12407,1334
"3198_hemN_2",15114,48,21614,185,21774,319,5058,2218,13798,269,16496,2941,12204,72,13966,56,3357,76,16466,2263
"3199_ChuX-like_family_protein",7615,119,26200,184,26016,296,8278,1498,20805,420,16522,2934,16913,57,15319,34,4379,108,15538,2364
"3200_hypothetical_protein",11183,176,12328,64,12805,117,3914,804,9459,211,8144,1714,8180,27,5815,19,2104,62,7709,1152
"3202_hmuV",1197,5,2761,15,2608,32,733,282,2104,47,1611,285,1253,9,1637,7,282,5,1457,263
"3354_ligB",341,42,738,12,582,189,456,33,436,60,458,230,427,10,370,9,363,13,401,121
"3513_atsA",97,8,202,3,112,1,71,5,15,6,83,67,157,11,54,7,16,1,66,24
"3611_scrY",64,5,68,9,81,9,62,8,72,16,40,25,72,4,53,0,38,6,18,2
"3694_hypothetical_protein",531,8,234,3,244,6,171,15,211,34,348,22,220,6,227,3,140,0,173,33
"3695_yfkN_1",271,12,784,10,1117,16,833,56,515,64,311,44,982,34,935,14,398,9,434,40
"3764_gutB_3",92,6,87,3,86,3,80,5,104,16,82,17,82,2,60,1,77,0,89,11
"3765_manZ_4",25,1,45,4,17,1,10,1,27,8,23,4,16,7,22,2,43,0,10,4
"3766_manY_2",46,1,62,1,26,1,11,5,28,4,32,6,30,6,21,3,38,1,14,2
"3767_sorB",26,0,27,0,31,0,10,1,16,0,12,9,7,2,12,1,21,0,11,3
"3768_manX_4",24,0,14,0,9,1,8,0,11,0,0,3,7,0,3,0,10,0,8,0
"3769_lvr",66,0,96,1,50,1,32,2,62,7,33,12,26,0,33,2,51,0,23,1
"3770_sorC",745,7,455,13,298,12,372,29,390,37,334,55,338,4,251,1,416,3,282,31
"4105_symE",120,10,437,18,66,3,269,3,207,38,753,179,78,0,261,2,452,6,124,16
"4182_hypothetical_protein",58,64,41,5,113,12,44,2,40,5,36,25,101,0,37,1,1242,2,36,10
"4196_htrE_3",45,10,230,5,533,2,328,40,144,8,125,29,84,2,504,2,221,2,86,34
"4230_surA",4136,1816,6188,521,6674,482,8266,959,6735,2380,6149,4065,5651,81,4358,21,13286,203,3619,2105
"4243_cysW_2",107,51,234,22,274,42,173,20,160,88,159,232,116,7,124,3,195,20,168,83
"4285_regulatory_protein_AmpE",672,47,1082,26,1313,5,1144,140,890,13,810,197,937,3,860,0,863,6,833,72
"4510_Alpha-beta_hydrolase_family_protein",1942,23,2424,9,1734,29,1967,105,2169,69,2135,223,1467,5,1807,1,2497,22,127,48
"4513_yhdN_5",553,18,385,9,629,8,666,30,504,33,459,71,682,2,388,3,947,8,494,75
"4514_yvgN_2",944,56,580,29,805,15,888,50,765,59,698,149,1057,5,622,8,643,9,568,52
"4603_hypothetical_protein",74,39,161,7,37,12,41,7,34,35,23,89,14,2,28,2,39,6,22,20
"4696_glsA1",155,6,51,4,392,59,34,1,278,4,92,8,321,31,278,1,168,1,25,11
"4896_hypothetical_protein",962,1,1720,57,675,5,1213,59,1723,37,2786,193,591,0,1143,1,570,2,481,19
"5124_merA",683,4,437,59,477,28,725,161,447,27,602,85,848,6,664,3,322,14,142,34
"623_Replication_protein_P",197,9,30,0,160,49,71,3,50,12,25,5,63,0,36,0,123,2,57,18
"628_rusA_1",22,2,29,0,11,2,10,1,11,3,6,4,8,0,6,1,11,0,3,3
"641_Phage_portal_protein-_lambda_family",778,41,114,9,299,20,237,28,276,42,163,39,202,3,277,3,187,7,748,127
"660_Fibronectin_type_III_protein",356,19,218,10,265,68,210,11,157,14,197,122,948,15,410,1,214,17,87,21
"664_mntB_1",7473,63,5604,80,18865,487,13490,104,10605,97,12714,1506,13946,21,9690,15,1186,48,10558,1459
"665_mntB_2",6265,30,5432,59,21417,362,12268,83,8299,38,10844,1225,11514,22,7515,5,807,30,10682,1452
"666_putative_ABC_transporter_ATP-binding_protein",15255,134,22414,241,69934,1410,45297,275,31071,253,40722,5128,40313,60,24664,27,2974,93,42187,5656
"677_yahA_1",116,4,13,0,33,0,34,0,172,0,60,10,54,0,23,0,2,0,7,0
"712_nadC_1",90,6,110,2,109,5,174,12,99,7,112,27,64,2,148,0,380,2,74,6
"713_hypothetical_protein",25,4,55,3,29,0,81,2,68,4,57,13,33,2,79,0,157,2,32,5
"714_putative_ABC_transporter_ATP-binding_protein",39,3,38,3,25,1,38,5,26,2,37,13,14,1,66,1,140,0,20,5
"716_iron-dicitrate_transporter_substrate-binding_subunit",96,8,71,5,62,2,63,1,47,9,61,19,49,3,99,0,485,0,38,6
"7900_gspK",67,17,28,26,57,83,37,28,53,35,30,220,41,770,16,10,27,3,33,1
"7906_epsE_1",158,19,35,143,161,66,206,134,322,447,179,2178,156,24,181,8,200,26,122,474
"7911_Procyclic_acidic_repetitive_protein_-PARP-",9769,491,1695,1103,1796,3844,917,828,2884,11385,1367,87813,2001,801,1654,131,698,200,1499,13665
"793_hypothetical_protein",306,39,371,10,428,0,190,39,112,8,143,10,412,118,187,72,437,3,206,0
"825_Phage_minor_tail_protein_L",24,0,23,3,41,14,22,3,73,5,194,22,69,40,286,4,70,2,13,1
"8567_rfaL",1578,227,1072,58,692,1029,1109,134,744,503,764,1079,1018,20,837,3,964,54,602,411
"8569_gspA_1",2612,117,1658,2559,2506,212,2640,473,1617,875,1774,2097,2566,30,2286,9,1974,111,1903,706
