,Uniprot,Symbol,GO,Pubmed,evidence,alternative,category,Godef,acc,date,source
29,P0A6F1,carA,GO:0006207,PMID:5319709,IMP,,P,,,20110815,EcoliWiki
30,P00968,carB,GO:0005524,PMID:14718657,IMP,,F,,,20090122,EcoliWiki
31,P00968,carB,GO:0004088,PMID:14718657,IDA,,F,,,20120615,EcoliWiki
32,P00968,carB,GO:0004087,PMID:3549732,IDA,,F,,,20120612,EcoliWiki
33,P00968,carB,GO:0046872,PMID:229896,IDA,,F,,,20090122,EcoliWiki
34,P00968,carB,GO:0019856,PMID:1737023,IMP,,P,,,20090122,EcoliWiki
35,P00968,carB,GO:0008652,PMID:1737023,IMP,,P,,,20100621,EcoliWiki
36,P00968,carB,GO:0004088,PMID:1737023,IGI,EcoliWiki:carA,F,,,20090122,EcoliWiki
37,P00968,carB,GO:0000166,PMID:10843852,IMP,,F,,,20090125,EcoliWiki
38,P00968,carB,GO:0000166,PMID:7648201,IDA,,F,,,20090223,EcoliWiki
39,P00968,carB,GO:0016597,PMID:7648201,IDA,,F,,,20090223,EcoliWiki
40,P0AE58,caiF,GO:0009437,PMID:8631699,EXP,,P,,,20090925,EcoliWiki
41,P39206,caiE,GO:0008735,PMID:7815937,EXP,,F,,,20090925,EcoliWiki
42,P39206,caiE,GO:0009437,PMID:7815937,EXP,,P,,,20090925,EcoliWiki
43,P31551,caiD,GO:0008809,PMID:7815937,EXP,,F,,,20090925,EcoliWiki
44,P31551,caiD,GO:0042413,PMID:7815937,EXP,,P,,,20090925,EcoliWiki
45,P31572,caiB,GO:0008735,PMID:8188598,EXP,,F,,,20090925,EcoliWiki
46,P31572,caiB,GO:0042413,PMID:8188598,EXP,,P,,,20090925,EcoliWiki
47,P31572,caiB,GO:0008735,PMID:7815937,EXP,,F,,,20090925,EcoliWiki
48,P60566,fixA,GO:0009437,PMID:12081978,IMP,,P,,,20110815,EcoliWiki
49,P31574,fixB,GO:0009437,PMID:12081978,IMP,,P,,,20100204,EcoliWiki
50,P68644,fixC,GO:0050660,GO_REF:0000024,ISA,UniProtKB:P55931,F,,,20090731,EcoliWiki
51,P68644,fixC,GO:0051536,GO_REF:0000024,ISA,UniProtKB:P55931,F,,,20090731,EcoliWiki
52,P68644,fixC,GO:0004174,GO_REF:0000024,ISA,UniProtKB:P55931,F,,,20090731,EcoliWiki
53,P68644,fixC,GO:0009437,PMID:7473063,IEP,,P,,,20090723,EcoliWiki
54,P0A754,kefF,GO:0009055,PMID:17679694,IMP,,F,,,20110715,EcoliWiki
55,P03819,kefC,GO:0006813,PMID:10632882|PMID:8594323,IDA,,P,,,20100506,EcoliWiki
56,P03819,kefC,GO:0006885,PMID:10632882|PMID:8594323,IDA,,P,,,20100503,EcoliWiki
57,P03819,kefC,GO:0005887,PMID:2046548,IDA,,C,,,20110705,EcoliWiki
58,P03819,kefC,GO:0005887,PMID:2046548,ISM,PMID:2046548,C,,,20110705,EcoliWiki
59,P0ABQ4,folA,GO:0042493,PMID:6444603,IDA,,P,,,20080714,EcoliWiki
60,P05637,apaH,GO:0008796,PMID:2995325,IMP,,F,,,20100818,EcoliWiki
61,P05637,apaH,GO:0015949,PMID:2995325,IMP,,P,,,20100818,EcoliWiki
62,P05637,apaH,GO:0008803,PMID:6317672,IDA,,F,,,20100819,EcoliWiki
63,P0ABZ6,surA,GO:0060274,PMID:2165476,IMP,,P,,,20091009,EcoliWiki
64,P0ABZ6,surA,GO:0006457,PMID:8626309,IMP,,P,,,20091008,EcoliWiki
65,P0ABZ6,surA,GO:0050821,PMID:8626309,IMP,,P,,,20091008,EcoliWiki
66,P0ABZ6,surA,GO:0003755,PMID:8985185,IDA,,F,,,20091008,EcoliWiki
67,P0ABZ6,surA,GO:0043165,PMID:8985185,IMP,,P,,,20091008,EcoliWiki
68,P0ABZ6,surA,GO:0030288,PMID:8985185,IDA,,C,,,20091008,EcoliWiki
69,P31554,lptD,GO:0005515,PMID:16861298,IPI,EcoliWiki:rlpB,F,,,20100621,EcoliWiki
70,P31554,lptD,GO:0043165,PMID:16861298,IGI,EcoliWiki:rlpB,P,,,20100413,EcoliWiki
71,P31554,lptD,GO:0015920,PMID:16861298,IMP,,P,,,20100413,EcoliWiki
72,P0AA37,rluA,GO:0031118,PMID:10383384,IMP,,P,,,20081217,EcoliWiki
73,P0AA37,rluA,GO:0031119,PMID:10383384,IMP,,P,,,20081217,EcoliWiki
74,P0AA37,rluA,GO:0009451,PMID:10383384,IMP,,P,,,20081221,EcoliWiki
75,P0AA37,rluA,GO:0009982,PMID:10383384,IMP,,F,,,20081221,EcoliWiki
76,P0AA37,rluA,GO:0001522,PMID:10383384,IMP,,P,,,20081221,EcoliWiki
77,P0AA37,rluA,GO:0008033,PMID:10383384,IMP,,P,,,20081221,EcoliWiki
78,P0AA37,rluA,GO:0006364,PMID:10383384,IMP,,P,,,20081221,EcoliWiki
79,P08202,araA,GO:0019568,PMID:13829634,IMP,,P,,,20081115,EcoliWiki
80,P08202,araA,GO:0008733,PMID:13829634,IMP,,F,,,20081115,EcoliWiki
81,P08204,araB,GO:0019568,PMID:13829634,IMP,,P,,,20081115,EcoliWiki
82,P08204,araB,GO:0008741,PMID:13829634,IMP,,F,,,20081115,EcoliWiki
83,P08204,araB,GO:0008741,PMID:5336963,IDA,,F,,,20090410,EcoliWiki
84,P08204,araB,GO:0005737,PMID:5336963,IDA,,C,,,20090410,EcoliWiki
85,P08204,araB,GO:0016773,PMID:5336963,IDA,,F,,,20090410,EcoliWiki
86,P08204,araB,GO:0019572,PMID:5336963,IDA,,P,,,20090410,EcoliWiki
87,P08204,araB,GO:0019568,PMID:5336963,IDA,,P,,,20090410,EcoliWiki
88,P08204,araB,GO:0016052,PMID:5336963,IDA,,P,,,20090410,EcoliWiki
89,P0A9E0,araC,GO:0019568,PMID:13829634,IMP,,P,,,20081115,EcoliWiki
90,P31675,setA,GO:0015767,PMID:10438463,IDA,,P,,,20081124,EcoliWiki
91,P31675,setA,GO:0015542,PMID:10438463,IDA,,F,,,20081124,EcoliWiki
92,P31675,setA,GO:0015758,PMID:10438463,IDA,,P,,,20081124,EcoliWiki
93,P31675,setA,GO:0016020,PMID:10438463,IDA,,C,,,20081124,EcoliWiki
94,P30126,leuD,GO:0009316,PMID:4587614,IMP,,C,,,20100621,EcoliWiki
95,P30125,leuB,GO:0003862,PMID:9003442,IDA,,F,,,20100507,EcoliWiki
96,P30125,leuB,GO:0034198,PMID:10220423|PMID:15133107,IMP,,P,,,20100507,EcoliWiki
97,P30125,leuB,GO:0009098,PMID:4570778,IMP,,P,,,20110705,EcoliWiki
98,P09151,leuA,GO:0009098,PMID:4570778,IMP,,P,,,20110705,EcoliWiki
99,P0AD68,ftsI,GO:0008955,PMID:6450748,IMP,,F,,,20110815,EcoliWiki
100,P0AD68,ftsI,GO:0008955,PMID:7030331,IDA,,F,,,20080709,EcoliWiki
101,P0AD68,ftsI,GO:0031226,PMID:3881388,IDA,,C,,,20080709,EcoliWiki
102,P0AD68,ftsI,GO:0005887,PMID:319999,IDA,,C,,,20080829,EcoliWiki
103,P0AD68,ftsI,GO:0005515,PMID:20497333,IPI,EcoliWiki:ftsN,F,,,20100730,EcoliWiki
104,P0AD68,ftsI,GO:0032153,PMID:9603865,IDA,,C,,,20091116,EcoliWiki
105,P0AD68,ftsI,GO:0051301,PMID:1103132,IMP,,P,,,20090904,EcoliWiki
106,P0AD68,ftsI,GO:0008658,PMID:1103132,IDA,,F,,,20090904,EcoliWiki
107,P0AD68,ftsI,GO:0042493,PMID:1103132,IMP,,P,,,20090904,EcoliWiki
108,P22188,murE,GO:0008765,PMID:2269304,IDA,,F,,,20130718,EcoliWiki
109,P11880,murF,GO:0047480,PMID:2186811,IDA,,F,,,20100621,EcoliWiki
110,P0A6W3,mraY,GO:0008963,PMID:1846850,IDA,,F,,,20080703,EcoliWiki
111,P14900,murD,GO:0005737,PMID:1765076,IDA,,C,,,20091116,EcoliWiki
112,P0ABG4,ftsW,GO:0051301,PMID:9006034,IMP,,P,,,20091116,EcoliWiki
113,P0ABG4,ftsW,GO:0008360,PMID:9006034,IMP,,P,,,20091116,EcoliWiki
114,P0ABG4,ftsW,GO:0032153,PMID:9603865,IDA,,C,,,20091116,EcoliWiki
115,P0ABG4,ftsW,GO:0051301,PMID:9603865,IMP,,P,,,20091116,EcoliWiki
116,P0ABG4,ftsW,GO:0005515,PMID:20497333,IPI,EcoliWiki:ftsN,F,,,20100730,EcoliWiki
117,P17443,murG,GO:0050511,PMID:1649817,IDA,,F,,,20110815,EcoliWiki
118,P17443,murG,GO:0050511,PMID:1649817,IMP,,F,,,20110815,EcoliWiki
119,P17952,murC,GO:0008763,PMID:7601127,IDA,,F,,,20080703,EcoliWiki
120,P17952,murC,GO:0005515,PMID:17139082,IPI,EcoliWiki:murC,F,,,20091113,EcoliWiki
121,P17952,murC,GO:0000287,PMID:17139082,IDA,,F,,,20091113,EcoliWiki
122,P17952,murC,GO:0005524,PMID:17139082,IDA,,F,,,20091113,EcoliWiki
123,P07862,ddlB,GO:0008716,PMID:8756703,IMP,,F,,,20100430,EcoliWiki
124,P07862,ddlB,GO:0008716,PMID:1993184,IDA,,F,,,20080703,EcoliWiki
125,P07862,ddlB,GO:0008716,PMID:1554356,IDA,,F,,,20130725,EcoliWiki
126,P06136,ftsQ,GO:0051301,PMID:2007547,IMP,,P,,,20090518,EcoliWiki
127,P06136,ftsQ,GO:0000917,PMID:2007547,IMP,,P,,,20090518,EcoliWiki
128,P06136,ftsQ,GO:0005886,PMID:2007547,IMP,,C,,,20090518,EcoliWiki
129,P06136,ftsQ,GO:0016021,PMID:2007547,IDA,,C,,,20090518,EcoliWiki
130,P0ABH0,ftsA,GO:0032153,PMID:8917533,IDA,,C,,,20090907,EcoliWiki
131,P0ABH0,ftsA,GO:0051301,PMID:4583216,IMP,,P,,,20091009,EcoliWiki
132,P0ABH0,ftsA,GO:0051301,PMID:8917533,IMP,,P,,,20090907,EcoliWiki
133,P0A9A6,ftsZ,GO:0003924,PMID:1528267,IDA,,F,,,20110815,EcoliWiki
134,P0A9A6,ftsZ,GO:0005737,PMID:1943703,IDA,,C,,,20100604,EcoliWiki
135,P0A9A6,ftsZ,GO:0051258,PMID:8917533,IDA,,P,,,20100604,EcoliWiki
136,P0A9A6,ftsZ,GO:0032153,PMID:9603865,IDA,,C,,,20130910,EcoliWiki
137,P0A9A6,ftsZ,GO:0051301,PMID:2045370,IMP,,P,,,20100604,EcoliWiki
138,P0A9A6,ftsZ,GO:0005525,PMID:1528267,IDA,,F,,,20110815,EcoliWiki
139,P0A9A6,ftsZ,GO:0003924,PMID:1528268,IDA,,F,,,20100604,EcoliWiki
140,P0A9A6,ftsZ,GO:0005525,PMID:1528268,IDA,,F,,,20100604,EcoliWiki
141,P0A9A6,ftsZ,GO:0005515,PMID:8752322,IPI,EcoliWiki:sulA,F,,,20091027,EcoliWiki
142,P0A9A6,ftsZ,GO:0005515,PMID:20497333,IPI,EcoliWiki:zapA,F,,,20100730,EcoliWiki
143,P0A9A6,ftsZ,GO:0005515,PMID:20497333,IPI,EcoliWiki:ftsZ,F,,,20100730,EcoliWiki
144,P0A9A6,ftsZ,GO:0051258,PMID:21321206,IDA,,P,,,20110405,EcoliWiki
145,P0A725,lpxC,GO:0009245,PMID:8530464,IMP,,P,,,20081016,EcoliWiki
146,P0A725,lpxC,GO:0019213,PMID:3288280,IDA,,F,,,20081016,EcoliWiki
147,P10408,secA,GO:0005515,PMID:17229438,IPI,EcoliWiki:secA,F,,,20090616,EcoliWiki
148,P10408,secA,GO:0065002,PMID:6279567,IMP,,P,,,20110816,EcoliWiki
149,P10408,secA,GO:0015031,PMID:6279567,IMP,,P,,,20110816,EcoliWiki
150,P10408,secA,GO:0006605,PMID:6279567,IMP,,P,,,20110816,EcoliWiki
151,P10408,secA,GO:0005737,PMID:1837021,IDA,,C,,,20090625,EcoliWiki
152,P10408,secA,GO:0005886,PMID:1837021,IDA,,C,,,20090625,EcoliWiki
153,P10408,secA,GO:0043952,PMID:6279567,IMP,,P,,,20090625,EcoliWiki
154,P30011,nadC,GO:0005737,PMID:8561507,IDA,,C,,,20090423,EcoliWiki
155,P30011,nadC,GO:0004514,PMID:8561507,IDA,,F,,,20090423,EcoliWiki
156,P30011,nadC,GO:0009435,PMID:8561507,IDA,,P,,,20090423,EcoliWiki
157,P0AFG8,aceE,GO:0004738,PMID:327021,IGI,EcoliWiki:aceF|EcoliWiki:lpd,F,,,20110602,EcoliWiki
158,P06959,aceF,GO:0005737,PMID:16858726,IDA,,C,,,20110815,EcoliWiki
159,P06959,aceF,GO:0045254,PMID:3903169,IDA,,C,,,20091016,EcoliWiki
160,P06959,aceF,GO:0045254,PMID:327021,IGI,EcoliWiki:lpd|EcoliWiki:acE,C,,,20110602,EcoliWiki
161,P06959,aceF,GO:0004742,PMID:12651118,IDA,,F,,,20091016,EcoliWiki
162,P06959,aceF,GO:0031405,PMID:12651118,IDA,,F,,,20091016,EcoliWiki
163,P06959,aceF,GO:0004738,PMID:3903169,IDA,,F,,,20091016,EcoliWiki
164,P06959,aceF,GO:0006090,PMID:349114,IMP,,P,,,20091016,EcoliWiki
165,P06959,aceF,GO:0006086,PMID:349114,IMP,,P,,,20091016,EcoliWiki
166,P0A9P0,lpd,GO:0004148,PMID:3066354,IDA,,F,,,20110815,EcoliWiki
167,P0A9P0,lpd,GO:0055114,PMID:3066354,IDA,,P,,,20110815,EcoliWiki
168,P0A9P0,lpd,GO:0006103,PMID:4197899,IMP,,P,,,20081007,EcoliWiki
169,P0A9P0,lpd,GO:0008270,PMID:11985624,IDA,,F,,,20091030,EcoliWiki
170,P0A9P0,lpd,GO:0006090,PMID:4197899,IMP,,P,,,20081007,EcoliWiki
171,P0A9P0,lpd,GO:0006103,PMID:6311808,IGI,EcoliWiki:sucA|EcoliWiki:sucB,P,,,20081007,EcoliWiki
172,P0A9P0,lpd,GO:0006090,PMID:6311808,IDA,,P,,,20081007,EcoliWiki
173,P0A9P0,lpd,GO:0050660,PMID:4863745,IDA,,F,,,20081007,EcoliWiki
174,P0A9P0,lpd,GO:0015036,PMID:4863745,IDA,,F,,,20081007,EcoliWiki
175,P0A9P0,lpd,GO:0005737,PMID:4863745,IDA,,C,,,20081007,EcoliWiki
176,P36683,acnB,GO:0003994,PMID:8932712,IDA,,F,,,20100621,EcoliWiki
177,P36683,acnB,GO:0006097,PMID:10589714,NAS,,P,,,20110606,EcoliWiki
178,P36683,acnB,GO:0006099,PMID:10589714,NAS,,P,,,20110606,EcoliWiki
179,P36683,acnB,GO:0003729,PMID:10589714,IDA,,F,,,20110606,EcoliWiki
180,P36649,cueO,GO:0042597,PMID:11527384,IDA,,C,,,20081117,EcoliWiki
181,P36649,cueO,GO:0005507,PMID:11527384,IDA,,F,,,20081117,EcoliWiki
182,P36649,cueO,GO:0016722,PMID:11527384,IDA,,F,,,20081117,EcoliWiki
183,P0A9M2,hpt,GO:0004422,PMID:765747,IMP,,F,,,20100621,EcoliWiki
184,P0A9M2,hpt,GO:0032263,PMID:12070315,IDA,,P,,,20080806,EcoliWiki
185,P0A9M2,hpt,GO:0032264,PMID:12070315,IDA,,P,,,20080806,EcoliWiki
186,P0A9M2,hpt,GO:0004422,PMID:12070315,IDA,,F,,,20080806,EcoliWiki
187,P61517,can,GO:0004089,PMID:12784642,TAS,,F,,,20110810,EcoliWiki
188,P26281,folK,GO:0003848,PMID:1325970,IDA,,F,,,20080715,EcoliWiki
189,P0ABF1,pcnB,GO:0004652,PMID:10361280,IDA,,F,,,20081001,EcoliWiki
190,P0ABF1,pcnB,GO:0009451,PMID:10361280,IDA,,P,,,20081001,EcoliWiki
191,P0ABF1,pcnB,GO:0006397,PMID:10361280,IDA,,P,,,20081001,EcoliWiki
192,P0ABF1,pcnB,GO:0006276,PMID:2537812,IMP,,P,,,20081001,EcoliWiki
193,P0ABF1,pcnB,GO:0006378,PMID:17040898,IMP,,P,,,20081001,EcoliWiki
194,P0ABF1,pcnB,GO:0009451,PMID:17040898,IMP,,P,,,20081001,EcoliWiki
195,P0ABF1,pcnB,GO:0003723,PMID:10361280,IMP,,F,,,20081001,EcoliWiki
196,P0ABF1,pcnB,GO:0009451,PMID:9435023,IGI,EcoliWiki:cca|EcoliWiki:pnp,P,,,20081001,EcoliWiki
197,P0ABF1,pcnB,GO:0005737,PMID:10361280,IDA,,C,,,20081001,EcoliWiki
198,P0ABF1,pcnB,GO:0005737,PMID:1438224,IDA,,C,,,20081001,EcoliWiki
199,P02919,mrcB,GO:0008955,PMID:6389538,IDA,,F,,,20080703,EcoliWiki
200,P02919,mrcB,GO:0009002,PMID:6389538,IDA,,F,,,20080703,EcoliWiki
201,P06971,fhuA,GO:0046790,PMID:4580999,IMP,,F,,,20080722,EcoliWiki
202,P06971,fhuA,GO:0015643,PMID:4584483,IMP,,F,,,20080722,EcoliWiki
203,P06971,fhuA,GO:0046790,PMID:4584483,IMP,,F,,,20080722,EcoliWiki
204,P06971,fhuA,GO:0005506,PMID:12944258,IPI,CHEBI:18248,F,,,20090309,EcoliWiki
205,P06971,fhuA,GO:0048037,PMID:12944258,IPI,CHEBI:26672,F,,,20090309,EcoliWiki
206,P37028,btuF,GO:0042597,PMID:11790740,IDA,,C,,,20090122,EcoliWiki
207,P37028,btuF,GO:0031419,PMID:11790740,IDA,,F,,,20120709,EcoliWiki
208,P37028,btuF,GO:0015889,PMID:11790740,IMP,,P,,,20120709,EcoliWiki
209,P15723,dgt,GO:0008832,PMID:2833745,IDA,,F,,,20081006,EcoliWiki
210,P15723,dgt,GO:0003924,PMID:2826481,IDA,,F,,,20081006,EcoliWiki
211,P15723,dgt,GO:0030145,PMID:2826481,IDA,,F,,,20081006,EcoliWiki
212,P15723,dgt,GO:0050897,PMID:2826481,IDA,,F,,,20081006,EcoliWiki
213,P0C0V0,degP,GO:0006979,PMID:10517331,IEP,,P,,,20090930,EcoliWiki
214,P0C0V0,degP,GO:0030288,PMID:10517331,IDA,,C,,,20090930,EcoliWiki
215,P0C0V0,degP,GO:0006508,PMID:2180903,IDA,,P,,,20090930,EcoliWiki
216,P0C0V0,degP,GO:0004252,PMID:2180903,IDA,,F,,,20090930,EcoliWiki
217,P0C0V0,degP,GO:0004252,PMID:19255437,IMP,,F,,,20090930,EcoliWiki
218,P0C0V0,degP,GO:0006515,PMID:10319814,IMP,,P,,,20090930,EcoliWiki
219,P0C0V0,degP,GO:0009266,PMID:10319814,IEP,,P,,,20090930,EcoliWiki
220,P0C0V0,degP,GO:0006457,PMID:10319814,IMP,,P,,,20090930,EcoliWiki
221,P0A7V0,rpsB,GO:0022627,PMID:4587209,IDA,,C,,,20080917,EcoliWiki
222,P0A7V0,rpsB,GO:0008270,PMID:11985624,IDA,,F,,,20091030,EcoliWiki
223,P0A6P1,tsf,GO:0008270,PMID:11985624,IDA,,F,,,20091030,EcoliWiki
224,P0AEH1,rseP,GO:0005887,PMID:11867724,IDA,,C,,,20110815,EcoliWiki
225,P0A940,bamA,GO:0043165,PMID:15851030,IPI,EcoliWiki:yfgL|EcoliWiki:nlpB|EcoliWiki:yfiO,P,,,20100413,EcoliWiki
226,P0A940,bamA,GO:0005515,PMID:15851030,IPI,EcoliWiki:nlpB|EcoliWiki:yfgL|EcoliWiki:yfiO,F,,,20100621,EcoliWiki
227,P0AEU7,skp,GO:0006457,PMID:10455120,IMP,,P,,,20110816,EcoliWiki
228,P0AEU7,skp,GO:0030288,PMID:10455120,IDA,,C,,,20110816,EcoliWiki
229,P21645,lpxD,GO:0016410,PMID:3288280,IDA,,F,,,20081016,EcoliWiki
230,P21645,lpxD,GO:0009245,PMID:8366125,IMP,,P,,,20081016,EcoliWiki
231,P21645,lpxD,GO:0016410,PMID:8366125,IDA,,F,,,20081016,EcoliWiki
232,P0A722,lpxA,GO:0008780,PMID:3549716,IDA,,F,,,20081002,EcoliWiki
233,P0A722,lpxA,GO:0005737,PMID:3549716,IDA,,C,,,20081010,EcoliWiki
234,P10441,lpxB,GO:0019897,PMID:19883124,IDA,,C,,,20100408,EcoliWiki
235,P10441,lpxB,GO:0005543,PMID:19883124,IDA,,F,,,20100408,EcoliWiki
236,P10441,lpxB,GO:0008915,PMID:6370995,IDA,,F,,,20081027,EcoliWiki
237,P10441,lpxB,GO:0009245,PMID:6370995,IMP,,P,,,20081027,EcoliWiki
238,P10441,lpxB,GO:0009245,PMID:3531165,IEP,,P,,,20081027,EcoliWiki
239,P10443,dnaE,GO:0008408,PMID:2997151,IDA,,F,,,20100621,EcoliWiki
240,P10443,dnaE,GO:0003887,PMID:2997151,IDA,,F,,,20100409,EcoliWiki
241,P10443,dnaE,GO:0005737,PMID:2997151,IDA,,C,,,20100720,EcoliWiki
242,P10443,dnaE,GO:0003887,PMID:2997151,IDA,,F,,,20100720,EcoliWiki
243,P0ABD5,accA,GO:0006633,PMID:10893421,IGI,EcoliWiki:accB|EcoliWiki:accC|EcoliWiki:accD,P,,,20110601,EcoliWiki
244,P0ABD5,accA,GO:0042759,PMID:18156466,NAS,,P,,,20110815,EcoliWiki
245,P0ABD5,accA,GO:0005737,PMID:10893421,IC,GO:0006633,C,,,20110602,EcoliWiki
246,P52095,ldcC,GO:0008923,PMID:9226257,IDA,,F,,,20100507,EcoliWiki
247,P52095,ldcC,GO:0006554,PMID:9226257,IDA,,P,,,20110810,EcoliWiki
248,P52097,tilS,GO:0006400,PMID:14527414,IDA,,P,,,20100621,EcoliWiki
249,P52097,tilS,GO:0032267,PMID:14527414,IDA,,F,,,20100621,EcoliWiki
250,P30750,metN,GO:0005524,PMID:18621668,IDA,,F,,,20110815,EcoliWiki
251,P30750,metN,GO:0016887,PMID:18621668,IDA,,F,,,20110815,EcoliWiki
252,P30750,metN,GO:0048474,PMID:18621668,IDA,,F,,,20110815,EcoliWiki
253,P0AEZ7,mltD,GO:0051353,PMID:1663890,IMP,,P,,,20110523,EcoliWiki
254,P0AEZ7,mltD,GO:0008933,PMID:10843862,NAS,,F,,,20110815,EcoliWiki
255,P0AEZ7,mltD,GO:0016020,PMID:10843862,NAS,,C,,,20110815,EcoliWiki
256,P0A7Y4,rnhA,GO:0004523,PMID:4572736,IDA,,F,,,20110519,EcoliWiki
257,P0A7Y4,rnhA,GO:0003676,PMID:4572736,IDA,,F,,,20110519,EcoliWiki
258,P0A7Y4,rnhA,GO:0004519,PMID:4572736,IDA,,F,,,20110519,EcoliWiki
259,Q47155,dinB,GO:0006974,PMID:11967071,IEP,,P,,,20110815,EcoliWiki
260,Q47155,dinB,GO:0003887,PMID:10488344,IDA,,F,,,20110525,EcoliWiki
261,Q47155,dinB,GO:0000731,PMID:10488344,IDA,,P,,,20110525,EcoliWiki
262,Q47155,dinB,GO:0005737,PMID:10488344,IDA,,C,,,20110815,EcoliWiki
263,Q47156,yafN,GO:0006974,PMID:11967071,IEP,,P,,,20100722,EcoliWiki
264,P15288,pepD,GO:0043171,PMID:355237,IGI,EcoliWiki:pepA|EcoliWiki:pepB|EcoliWiki:pepN|EcoliWiki:pepQ,P,,,20100201,EcoliWiki
265,Q47690,mmuM,GO:0006974,PMID:11967071,IEP,,P,,,20100722,EcoliWiki
266,P06960,argF,GO:0006974,PMID:11967071,IEP,,P,,,20110815,EcoliWiki
267,P77489,paoC,GO:0005515,PMID:19368556,IPI,EcoliWiki:yagT|EcoliWiki:yagS,F,,,20100212,EcoliWiki
268,P77489,paoC,GO:0006974,PMID:11967071,IEP,,P,,,20100722,EcoliWiki
269,P77324,paoB,GO:0005515,PMID:19368556,IPI,EcoliWiki:yagR|EcoliWiki:yagT,F,,,20100212,EcoliWiki
270,P77165,paoA,GO:0005515,PMID:19368556,IPI,EcoliWiki:yagS|EcoliWiki:yagR,F,,,20100212,EcoliWiki
271,P0ABC9,betT,GO:0006974,PMID:11967071,IEP,,P,,,20110815,EcoliWiki
272,P31660,prpC,GO:0019679,PMID:9325432,IDA,,P,,,20100621,EcoliWiki
273,P31660,prpC,GO:0050440,PMID:9325432,IDA,,F,,,20100621,EcoliWiki
274,P77243,prpD,GO:0047547,PMID:12473114,IDA,,F,,,20100621,EcoliWiki
275,P77243,prpD,GO:0019679,PMID:12473114,IDA,,P,,,20100621,EcoliWiki
276,P00816,cynS,GO:0005737,PMID:8083164,IDA,,C,,,20100621,EcoliWiki
277,P02920,lacY,GO:0016020,PMID:4900505,IDA,,C,,,20090206,EcoliWiki
278,P02920,lacY,GO:0030395,PMID:12893935,IDA,,F,,,20090206,EcoliWiki
279,P02920,lacY,GO:0016021,PMID:12893935,IDA,,C,,,20090206,EcoliWiki
280,P02920,lacY,GO:0008643,PMID:5541536,IMP,,P,,,20090206,EcoliWiki
281,P02920,lacY,GO:0005351,PMID:7000781,IDA,,F,,,20090206,EcoliWiki
282,P77044,mhpC,GO:0016787,PMID:9315862,IDA,,F,,,20081015,EcoliWiki
283,P77044,mhpC,GO:0019439,PMID:3531186,IMP,,P,,,20081015,EcoliWiki
